               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.011116,            0.042973,             0.03594,             0.89597,            0.030955,            0.028302,           0.0083268,           0.0014786,            0.011757,            0.036302,            0.035055,             0.83535,               9e-05,               9e-05,             0.09919
                   1,            0.010696,            0.035505,             0.03041,             0.78321,            0.021588,            0.062166,           0.0091575,           0.0024855,            0.011174,            0.028141,            0.028653,             0.73952,          0.00018996,          0.00018996,             0.09829
                   2,            0.010332,            0.029672,            0.024252,             0.71945,            0.024007,            0.009434,            0.003762,          0.00069119,            0.010465,            0.025013,            0.019742,             0.68152,          0.00028977,          0.00028977,             0.09739
                   3,            0.010508,            0.026339,            0.018479,             0.65797,           0.0026669,            0.018868,           0.0013995,          0.00034707,           0.0099034,            0.023931,            0.014813,             0.62722,          0.00038931,          0.00038931,            0.096489
                   4,            0.010439,            0.023633,            0.014937,             0.60438,            0.055371,            0.084906,            0.022395,            0.005101,           0.0093406,            0.021032,            0.010792,             0.56825,          0.00048845,          0.00048845,            0.095588
                   5,           0.0099683,            0.021769,            0.010275,              0.5365,             0.58731,             0.15094,             0.04416,           0.0088325,           0.0089237,            0.018562,           0.0074383,             0.49451,          0.00058709,          0.00058709,            0.094687
                   6,           0.0084158,            0.020711,           0.0069804,             0.45554,             0.57684,             0.13208,            0.054987,            0.013803,           0.0084021,            0.016376,           0.0043352,             0.41104,          0.00068511,          0.00068511,            0.093785
                   7,           0.0078847,            0.019911,           0.0049092,             0.39202,             0.66847,             0.21698,             0.11703,            0.019232,           0.0081891,            0.015065,           0.0022517,             0.32863,          0.00078239,          0.00078239,            0.092882
                   8,            0.007059,             0.01797,           0.0036028,             0.31089,             0.65041,             0.20755,             0.11037,            0.018813,           0.0081797,             0.01516,           0.0013605,              0.2663,          0.00087882,          0.00087882,            0.091979
                   9,           0.0071892,            0.015546,           0.0016012,             0.25814,             0.73237,             0.13208,             0.12529,            0.027865,           0.0081108,            0.014925,          0.00098697,             0.23163,          0.00097428,          0.00097428,            0.091074
                  10,           0.0067819,            0.013963,           0.0010441,             0.22253,             0.16857,             0.17925,             0.14347,             0.04531,           0.0073968,            0.013433,          0.00087589,             0.21571,           0.0010687,           0.0010687,            0.090169
                  11,           0.0065294,            0.013567,          0.00090561,             0.21514,             0.22145,             0.26253,             0.19746,             0.05648,           0.0072525,             0.01327,          0.00075483,             0.20884,           0.0011619,           0.0011619,            0.089262
                  12,           0.0063164,            0.013005,          0.00080296,             0.20709,             0.27331,             0.32075,             0.24625,            0.061314,           0.0070401,            0.013222,          0.00072983,             0.20256,           0.0012538,           0.0012538,            0.088354
                  13,            0.005892,            0.012204,           0.0013803,             0.19893,             0.17115,             0.35849,             0.16493,            0.041929,           0.0064278,            0.011068,          0.00075352,             0.19986,           0.0013443,           0.0013443,            0.087444
                  14,           0.0060359,            0.011826,           0.0018125,              0.1997,             0.20791,             0.39623,             0.22736,            0.058268,           0.0060414,            0.010535,          0.00073138,             0.19895,           0.0014333,           0.0014333,            0.086533
                  15,           0.0058447,            0.011259,           0.0017668,             0.19444,              0.2338,             0.27358,             0.26363,            0.061848,           0.0064096,             0.01101,           0.0013754,             0.21035,           0.0015207,           0.0015207,            0.085621
                  16,           0.0060935,            0.011227,           0.0010901,             0.19839,             0.37172,             0.27337,             0.29792,            0.093456,           0.0074966,            0.010289,          0.00063627,             0.18896,           0.0016064,           0.0016064,            0.084706
