               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070869,            0.027242,            0.007486,             0.27853,             0.42362,             0.28868,             0.20134,            0.043744,            0.055924,            0.041371,          0.00055994,             0.18663,             0.00064,             0.00064,             0.09424
                   1,            0.051777,            0.017678,          0.00037096,              0.1859,             0.50054,              0.5843,             0.49152,              0.1318,            0.054609,            0.031443,          0.00022166,             0.17825,             0.00129,             0.00129,             0.08839
                   2,             0.04638,            0.014306,          0.00018041,              0.1749,             0.81707,             0.67206,             0.75346,             0.24361,            0.051073,            0.039845,          8.8352e-05,             0.16627,           0.0019399,           0.0019399,             0.08254
                   3,             0.04881,             0.01305,          0.00010063,             0.16042,             0.68631,             0.61663,              0.6555,             0.21737,            0.050226,            0.043716,          5.5747e-05,             0.15322,           0.0025896,           0.0025896,             0.07669
                   4,             0.04836,            0.012994,          6.0956e-05,             0.14982,             0.50853,             0.55889,             0.43731,             0.13016,            0.055038,            0.045555,          2.7167e-05,             0.14512,           0.0032392,           0.0032392,            0.070839
                   5,            0.047259,             0.01309,          4.2741e-05,             0.14052,             0.62707,             0.65358,             0.56173,             0.16088,            0.054151,            0.023894,           2.928e-05,              0.1363,           0.0038885,           0.0038885,            0.064989
                   6,            0.047447,            0.012778,          3.8211e-05,              0.1351,              0.6834,             0.62356,             0.62379,             0.22224,            0.050788,            0.031183,          2.4636e-05,             0.17198,           0.0045375,           0.0045375,            0.059137
                   7,            0.044947,             0.01309,          2.9442e-05,             0.12882,             0.39012,             0.66975,              0.4146,             0.14328,            0.045893,            0.080446,          2.7567e-05,             0.13388,           0.0051861,           0.0051861,            0.053286
                   8,            0.045881,            0.012768,          2.9792e-05,             0.12342,             0.50332,             0.33025,             0.35418,             0.14285,            0.064039,            0.072741,          2.9707e-05,             0.13462,           0.0058342,           0.0058342,            0.047434
                   9,            0.046746,             0.01268,          2.8117e-05,             0.11835,             0.63937,             0.53811,             0.53904,             0.20059,            0.063414,            0.048414,          2.8778e-05,             0.12936,           0.0064819,           0.0064819,            0.041582
                  10,            0.044275,            0.012833,          2.2207e-05,             0.11495,             0.78359,             0.75262,             0.80398,             0.34103,            0.042499,            0.025531,          2.1598e-05,              0.1146,            0.007129,            0.007129,            0.035729
                  11,            0.043028,             0.01279,          2.0076e-05,             0.10829,             0.82608,             0.83368,             0.86845,             0.38036,             0.03988,            0.026245,          1.3719e-05,             0.10926,           0.0077755,           0.0077755,            0.029875
                  12,            0.045565,             0.01318,          1.9245e-05,             0.10791,             0.84644,              0.8147,             0.88117,             0.35158,            0.044624,            0.028809,          1.1622e-05,             0.10534,           0.0084213,           0.0084213,            0.024021
                  13,            0.046713,            0.012498,          2.0049e-05,              0.1028,             0.77819,             0.68872,             0.79769,             0.37363,            0.043296,            0.027509,          1.7799e-05,             0.10052,           0.0090663,           0.0090663,            0.018166
                  14,            0.044152,            0.012585,          2.1185e-05,             0.10353,              0.7573,             0.71342,             0.75351,             0.32543,            0.044667,            0.029048,          1.7859e-05,             0.10739,           0.0097106,           0.0097106,            0.012311
                  15,            0.049047,            0.013014,          2.9393e-05,             0.11195,             0.79041,             0.78522,             0.83708,              0.3107,             0.04675,            0.026826,          2.2139e-05,             0.11474,           0.0099653,           0.0099653,           0.0099653
                  16,              0.0441,            0.012579,          3.0043e-05,             0.10913,             0.88277,             0.81734,             0.87273,             0.37284,            0.040429,            0.019114,          2.1591e-05,             0.10558,           0.0099653,           0.0099653,           0.0099653
                  17,            0.043275,            0.012394,          1.9283e-05,             0.10063,             0.87729,             0.82679,             0.88938,             0.42985,            0.037792,             0.01728,          1.2741e-05,            0.094128,           0.0099606,           0.0099606,           0.0099606
                  18,            0.040757,             0.01175,          1.3552e-05,            0.095845,             0.83911,             0.83141,             0.88063,             0.46619,            0.039079,            0.017303,          1.1532e-05,             0.10691,           0.0099555,           0.0099555,           0.0099555
                  19,            0.041668,            0.011143,          1.0973e-05,            0.093719,             0.87197,             0.94457,             0.93603,              0.4999,            0.034694,            0.014504,           7.901e-06,            0.088397,           0.0099501,           0.0099501,           0.0099501
                  20,            0.039596,            0.011061,          1.0255e-05,            0.091137,              0.8917,             0.89373,             0.92433,             0.46484,            0.037691,            0.015232,          7.9796e-06,            0.094318,           0.0099444,           0.0099444,           0.0099444
                  21,            0.038748,            0.011206,          1.0717e-05,             0.08867,             0.90542,             0.88438,             0.92845,             0.46861,            0.035995,            0.014309,          9.1391e-06,            0.085072,           0.0099384,           0.0099384,           0.0099384
                  22,            0.039095,            0.011146,          1.0661e-05,            0.088083,             0.88592,             0.93303,             0.94019,             0.51108,            0.034646,             0.01452,          9.2726e-06,            0.089112,           0.0099322,           0.0099322,           0.0099322
                  23,            0.039859,            0.010846,          1.3751e-05,            0.088716,             0.93495,             0.93072,             0.95173,              0.4718,            0.038031,            0.013909,           1.035e-05,            0.089348,           0.0099256,           0.0099256,           0.0099256
                  24,            0.039071,            0.010772,          1.4125e-05,            0.088474,             0.90069,               0.903,             0.92534,             0.51054,            0.036197,            0.014115,          1.0825e-05,            0.087769,           0.0099187,           0.0099187,           0.0099187
                  25,            0.038744,            0.011332,          1.3275e-05,            0.088344,             0.91115,             0.92364,             0.95463,             0.50649,            0.035244,            0.014506,          1.0276e-05,            0.083109,           0.0099114,           0.0099114,           0.0099114
                  26,            0.037976,            0.011018,          1.1976e-05,            0.084881,             0.78875,             0.84758,             0.79622,             0.35127,            0.034843,             0.01504,          9.5348e-06,            0.083443,           0.0099039,           0.0099039,           0.0099039
                  27,            0.038155,            0.010761,          1.1032e-05,            0.082872,             0.91103,             0.87529,             0.94619,             0.54134,            0.036893,            0.014244,          8.3388e-06,            0.083539,           0.0098961,           0.0098961,           0.0098961
                  28,            0.039505,            0.010859,          1.2228e-05,            0.084102,             0.93023,             0.89607,              0.9417,             0.47664,            0.037419,            0.014278,          1.0752e-05,            0.083705,            0.009888,            0.009888,            0.009888
                  29,            0.036455,            0.010893,          1.3663e-05,            0.083935,             0.94048,             0.94871,             0.97085,             0.58344,            0.032585,            0.013844,          1.2024e-05,            0.087366,           0.0098796,           0.0098796,           0.0098796
                  30,            0.036824,            0.010421,          1.3689e-05,             0.08361,             0.93972,             0.93764,             0.97255,             0.60127,            0.031793,            0.013319,          1.0101e-05,            0.080274,           0.0098709,           0.0098709,           0.0098709
                  31,            0.038932,            0.010521,          1.1201e-05,            0.080982,             0.90278,             0.94457,             0.95705,             0.52605,            0.033319,            0.014374,          9.0706e-06,            0.076907,           0.0098619,           0.0098619,           0.0098619
                  32,            0.036094,            0.010331,          1.1082e-05,            0.080057,             0.93175,             0.88453,             0.93018,             0.51026,            0.033464,            0.014875,          1.1839e-05,            0.082345,           0.0098525,           0.0098525,           0.0098525
                  33,            0.034603,            0.010135,          1.1079e-05,            0.080761,             0.87095,             0.93522,             0.95122,             0.55317,            0.030248,            0.013683,          9.1657e-06,            0.079339,           0.0098429,           0.0098429,           0.0098429
