               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085307,            0.021522,            0.002293,             0.14331,             0.34338,             0.39492,             0.28746,            0.067958,            0.063862,            0.018983,          0.00032437,             0.10003,          0.00033024,          0.00033024,            0.062329
                   1,            0.065373,             0.01541,          0.00018917,            0.099631,             0.42036,             0.62125,             0.45505,             0.10729,            0.055293,            0.014823,          0.00010377,            0.099316,          0.00066292,          0.00066292,             0.05349
                   2,            0.065278,            0.012614,          9.2806e-05,            0.098971,             0.51428,             0.71594,             0.58444,             0.15419,            0.053925,            0.013457,          7.6705e-05,            0.097577,          0.00099506,          0.00099506,             0.04465
                   3,            0.061068,            0.012566,          6.2159e-05,            0.098062,             0.55272,             0.67898,             0.52953,             0.15785,            0.050809,            0.014666,          5.6613e-05,            0.095753,           0.0013263,           0.0013263,             0.03581
                   4,              0.0612,            0.011904,          4.9334e-05,            0.096431,              0.6079,             0.63732,             0.54941,             0.18238,            0.055187,            0.014218,          4.7627e-05,            0.094401,           0.0016561,           0.0016561,            0.026968
                   5,            0.060953,            0.012132,          3.5847e-05,            0.094303,             0.64611,              0.6836,             0.65281,             0.21313,            0.051458,            0.011969,          3.1764e-05,            0.091908,           0.0019842,           0.0019842,            0.018124
                   6,            0.059839,            0.011569,           2.769e-05,            0.092467,               0.571,             0.76905,             0.62273,             0.22707,             0.05344,             0.01443,          2.4521e-05,            0.090324,           0.0023101,           0.0023101,           0.0092779
                   7,            0.063146,            0.012237,           2.665e-05,            0.091903,             0.59867,             0.75058,             0.63176,             0.23173,            0.048572,            0.013342,          2.3446e-05,            0.089975,           0.0025542,           0.0025542,           0.0025542
                   8,            0.058455,             0.01205,          2.1581e-05,             0.09102,             0.72941,             0.75951,             0.75541,             0.29115,            0.043825,            0.011923,           1.957e-05,            0.088587,           0.0025542,           0.0025542,           0.0025542
                   9,              0.0584,            0.012037,          1.8697e-05,            0.088185,             0.75799,             0.87522,             0.83016,             0.35061,            0.044234,            0.010367,          1.8549e-05,            0.085187,           0.0025464,           0.0025464,           0.0025464
                  10,             0.05138,            0.011293,          1.6895e-05,             0.08579,             0.79309,             0.84982,             0.86105,             0.36524,            0.044829,            0.010963,          1.4939e-05,            0.082206,           0.0025375,           0.0025375,           0.0025375
                  11,            0.053689,            0.011803,          1.4048e-05,            0.084414,             0.78304,             0.87521,             0.87462,             0.35527,            0.045209,            0.012172,          5.4241e-05,             0.09484,           0.0025276,           0.0025276,           0.0025276
                  12,             0.05005,            0.010651,          1.3324e-05,            0.082178,             0.82208,             0.79215,             0.82266,             0.36266,            0.043492,            0.012477,          1.3135e-05,             0.07985,           0.0025167,           0.0025167,           0.0025167
                  13,            0.050355,            0.011377,          1.1904e-05,            0.080164,             0.87289,             0.80883,             0.89278,             0.38368,            0.048957,            0.011836,           0.0013629,             0.29938,           0.0025048,           0.0025048,           0.0025048
                  14,             0.05523,            0.013585,          1.1713e-05,            0.080475,             0.19477,            0.020785,            0.032064,           0.0079363,             0.15569,            0.088609,             0.17158,              10.056,           0.0024919,           0.0024919,           0.0024919
                  15,            0.051921,             0.01222,          1.2267e-05,            0.078857,             0.78736,             0.81237,             0.86641,             0.41404,            0.041975,            0.014284,           1.183e-05,            0.075222,           0.0024781,           0.0024781,           0.0024781
                  16,            0.050029,            0.011729,          9.4805e-06,            0.076384,             0.86768,             0.83834,             0.90573,             0.40554,            0.044082,             0.01386,          8.6611e-06,            0.072599,           0.0024633,           0.0024633,           0.0024633
                  17,            0.051224,            0.011732,          9.6502e-06,            0.075186,             0.91327,             0.85113,             0.91927,             0.43132,            0.040916,            0.012366,          1.1166e-05,            0.072375,           0.0024476,           0.0024476,           0.0024476
                  18,            0.049401,             0.01178,          1.0006e-05,            0.074016,             0.90573,             0.90972,             0.94147,             0.47112,            0.039856,           0.0099574,          8.8089e-06,            0.069801,           0.0024309,           0.0024309,           0.0024309
                  19,            0.047223,              0.0111,          8.7764e-06,            0.072361,             0.87301,             0.92087,             0.93834,             0.48728,            0.037031,           0.0098973,          8.5045e-06,            0.068861,           0.0024133,           0.0024133,           0.0024133
                  20,            0.045906,            0.011233,          8.1438e-06,             0.07057,             0.85242,             0.92148,             0.93478,             0.49505,            0.038667,           0.0097743,          7.6056e-06,            0.067503,           0.0023949,           0.0023949,           0.0023949
                  21,            0.047554,            0.010725,          7.7197e-06,            0.069188,             0.83926,             0.94226,             0.94033,             0.47044,            0.041555,            0.010097,          7.3006e-06,            0.067338,           0.0023755,           0.0023755,           0.0023755
                  22,            0.045881,            0.010611,          8.3971e-06,            0.068403,             0.88666,             0.92148,             0.95478,             0.51027,            0.035463,            0.009642,          7.5007e-06,            0.065061,           0.0023553,           0.0023553,           0.0023553
                  23,            0.048669,              0.0107,          8.2634e-06,            0.067868,             0.84896,             0.96074,             0.96063,             0.52564,            0.035664,            0.012141,          7.7282e-06,             0.06423,           0.0023343,           0.0023343,           0.0023343
                  24,            0.044336,            0.010653,          8.2489e-06,            0.066822,             0.85861,             0.95365,             0.95538,             0.54418,             0.03452,           0.0093274,          7.1956e-06,            0.064254,           0.0023124,           0.0023124,           0.0023124
                  25,            0.044629,            0.011019,           7.716e-06,            0.065458,             0.91055,             0.91681,             0.96627,             0.57031,            0.035017,            0.009829,          6.5072e-06,            0.061729,           0.0022898,           0.0022898,           0.0022898
                  26,            0.043341,            0.010386,          6.8457e-06,            0.064843,             0.86567,             0.93762,             0.95818,             0.53671,            0.037648,           0.0097082,          6.1265e-06,            0.061203,           0.0022664,           0.0022664,           0.0022664
                  27,            0.043305,            0.010202,          6.7605e-06,            0.063648,             0.91703,             0.91898,             0.96796,             0.54954,            0.034239,            0.009384,          6.0326e-06,            0.061012,           0.0022422,           0.0022422,           0.0022422
