               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17443,            0.026384,           0.0063061,             0.26021,                   0,                   0,                   0,                   0,              0.1624,            0.029738,          0.00032715,             0.18103,             0.00128,             0.00128,             0.08848
                   1,             0.13327,            0.025947,           0.0002585,             0.18673,             0.10653,             0.15242,            0.031162,           0.0063987,             0.11692,             0.03123,          9.4639e-05,             0.18114,           0.0025694,           0.0025694,            0.076869
                   2,             0.11473,            0.022324,          0.00012915,             0.18341,             0.39142,             0.38337,             0.27632,            0.073059,             0.10912,            0.024817,           6.899e-05,             0.17638,           0.0038562,           0.0038562,            0.065256
                   3,             0.10683,            0.021421,           0.0001063,             0.17996,             0.52318,              0.3903,              0.3689,             0.12064,            0.094841,             0.02426,          6.3519e-05,              0.1714,           0.0051386,           0.0051386,            0.053639
                   4,             0.10299,            0.019343,          9.9603e-05,             0.17247,             0.67746,              0.3903,              0.4749,             0.13149,            0.095665,            0.025564,          5.8989e-05,             0.16236,           0.0064146,           0.0064146,            0.042015
                   5,            0.098488,            0.019267,          7.6355e-05,             0.16345,             0.50712,             0.60739,             0.55416,             0.19428,            0.088219,            0.023126,          4.7195e-05,             0.14945,           0.0076824,           0.0076824,            0.030382
                   6,            0.099832,            0.018589,          4.6825e-05,             0.15209,              0.4709,              0.4388,              0.3979,             0.11179,            0.096886,            0.030082,          2.3979e-05,             0.14086,           0.0089401,           0.0089401,             0.01874
                   7,             0.10004,            0.018055,          3.7612e-05,             0.14356,             0.65789,             0.65286,             0.65057,             0.23008,            0.091504,            0.022835,          1.6932e-05,             0.13682,           0.0098796,           0.0098796,           0.0098796
                   8,            0.098476,            0.017192,          3.5313e-05,             0.13813,             0.65365,             0.62763,             0.62918,             0.25379,            0.084259,            0.021701,          2.3815e-05,             0.13329,           0.0098796,           0.0098796,           0.0098796
                   9,            0.090472,            0.016745,          3.1679e-05,             0.13618,             0.84427,             0.76443,             0.81364,             0.32936,            0.076546,            0.019794,          1.6901e-05,              0.1245,           0.0098429,           0.0098429,           0.0098429
                  10,            0.087379,            0.016571,          2.4417e-05,             0.12886,             0.80597,             0.74826,             0.82463,             0.35734,            0.077134,            0.018741,          1.3007e-05,             0.11869,           0.0098015,           0.0098015,           0.0098015
                  11,            0.080944,            0.015916,          1.9232e-05,             0.12384,             0.82865,             0.82646,             0.84691,             0.38481,            0.070069,            0.017016,           1.474e-05,             0.11928,           0.0097553,           0.0097553,           0.0097553
                  12,            0.078638,            0.015598,          1.9396e-05,             0.12037,             0.82566,             0.83127,             0.87865,              0.4317,            0.069611,              0.0178,          1.2353e-05,             0.11291,           0.0097044,           0.0097044,           0.0097044
                  13,            0.078366,            0.014722,          1.8928e-05,             0.11527,             0.87502,             0.84527,             0.89998,             0.47338,            0.067898,            0.016716,          1.3546e-05,             0.11104,           0.0096489,           0.0096489,           0.0096489
                  14,             0.07687,            0.014636,          2.1593e-05,             0.11559,             0.87663,             0.90257,             0.91984,             0.51657,            0.065554,            0.015601,           1.514e-05,             0.11071,           0.0095888,           0.0095888,           0.0095888
                  15,            0.075123,            0.013678,          1.9388e-05,             0.11261,             0.91057,             0.87007,             0.92383,             0.49154,            0.062721,            0.015617,          1.3861e-05,             0.10657,           0.0095242,           0.0095242,           0.0095242
                  16,            0.075749,            0.013709,          2.2266e-05,             0.11108,             0.92126,             0.81524,              0.8998,             0.50983,            0.066891,            0.015495,          1.5847e-05,             0.10387,           0.0094551,           0.0094551,           0.0094551
                  17,            0.074345,            0.013434,           2.175e-05,             0.10991,              0.9378,             0.87058,             0.93385,             0.47382,            0.062982,            0.014592,          1.4733e-05,             0.10466,           0.0093816,           0.0093816,           0.0093816
                  18,            0.072848,            0.013716,          2.0298e-05,             0.10868,             0.91219,             0.86836,             0.92517,             0.49462,            0.064613,             0.01569,          1.4946e-05,             0.10436,           0.0093038,           0.0093038,           0.0093038
                  19,            0.069104,            0.013091,           2.156e-05,             0.10713,             0.93419,             0.85681,             0.93735,             0.58191,            0.060273,              0.0142,          1.5977e-05,             0.10237,           0.0092217,           0.0092217,           0.0092217
                  20,            0.069966,            0.013202,          1.9557e-05,             0.10732,             0.97368,             0.85681,              0.9474,               0.564,            0.058643,            0.014421,          1.3208e-05,             0.10088,           0.0091355,           0.0091355,           0.0091355
                  21,            0.072816,            0.013192,          1.8407e-05,             0.10507,             0.91524,             0.83603,             0.90624,             0.57146,            0.056661,             0.01543,          1.5842e-05,            0.099138,           0.0090452,           0.0090452,           0.0090452
                  22,            0.072569,            0.012987,          1.9136e-05,             0.10335,             0.93489,             0.90069,             0.95791,             0.58221,            0.060281,             0.01439,          1.1885e-05,            0.097538,           0.0089509,           0.0089509,           0.0089509
                  23,            0.069602,            0.013144,          1.8527e-05,             0.10351,             0.88235,             0.90068,             0.93664,             0.55639,            0.062364,            0.014819,          1.3908e-05,            0.098826,           0.0088527,           0.0088527,           0.0088527
                  24,            0.069928,            0.012608,          1.7626e-05,             0.10362,             0.93008,             0.89607,             0.94767,             0.55943,            0.061976,            0.013733,          1.3185e-05,            0.096757,           0.0087507,           0.0087507,           0.0087507
                  25,            0.071318,            0.012523,            1.59e-05,             0.10033,             0.92494,             0.88218,             0.95116,             0.58302,            0.062892,             0.01363,          1.1921e-05,            0.095568,            0.008645,            0.008645,            0.008645
                  26,            0.068004,            0.012175,           1.631e-05,             0.10055,             0.92363,             0.89838,             0.95481,             0.61322,            0.056054,            0.013505,          1.2937e-05,            0.095055,           0.0085357,           0.0085357,           0.0085357
                  27,            0.062767,            0.012271,          1.4968e-05,             0.09869,             0.94577,             0.92841,              0.9654,              0.6097,             0.05105,            0.012983,          1.1622e-05,            0.091935,           0.0084229,           0.0084229,           0.0084229
                  28,            0.061509,            0.011939,          1.3356e-05,            0.097365,             0.95137,             0.90531,             0.95905,             0.63811,            0.054475,            0.013304,          9.2635e-06,            0.091131,           0.0083067,           0.0083067,           0.0083067
                  29,            0.059726,            0.011628,          1.1913e-05,            0.095683,             0.92973,             0.95612,             0.97207,             0.63989,            0.051575,            0.012539,          9.0711e-06,            0.091666,           0.0081873,           0.0081873,           0.0081873
                  30,            0.061569,             0.01159,           1.258e-05,            0.098179,             0.94394,             0.89607,             0.96144,             0.60962,             0.05453,            0.013028,          8.9161e-06,             0.09216,           0.0080647,           0.0080647,           0.0080647
                  31,             0.06465,            0.011695,          1.4414e-05,            0.097037,             0.89562,              0.9512,             0.96215,              0.5994,            0.052963,            0.013382,          1.0749e-05,            0.093409,           0.0079391,           0.0079391,           0.0079391
                  32,            0.064269,            0.011666,          1.5826e-05,            0.096612,             0.95116,              0.9445,             0.98019,             0.66859,            0.052779,             0.01267,          1.3013e-05,            0.090794,           0.0078106,           0.0078106,           0.0078106
                  33,            0.063375,            0.011209,           1.464e-05,            0.095326,             0.91953,              0.9515,              0.9743,             0.60637,            0.054494,            0.012927,          1.0346e-05,            0.090733,           0.0076794,           0.0076794,           0.0076794
                  34,             0.06276,            0.011385,          1.3563e-05,            0.095273,              0.9336,             0.94919,             0.97073,             0.62525,            0.050711,            0.012642,          9.9606e-06,            0.090567,           0.0075455,           0.0075455,           0.0075455
                  35,            0.061144,            0.011319,          1.2447e-05,            0.094126,             0.94226,              0.9422,             0.97226,             0.68949,            0.047969,            0.011902,          1.0057e-05,            0.088885,            0.007409,            0.007409,            0.007409
                  36,            0.059551,            0.011164,          1.3331e-05,            0.092191,              0.9263,             0.93072,             0.96347,             0.64122,            0.050956,            0.012721,          9.0451e-06,            0.089762,           0.0072702,           0.0072702,           0.0072702
                  37,            0.057877,            0.010786,          1.1863e-05,            0.091963,             0.93071,             0.93062,             0.95548,             0.66614,            0.047647,            0.013069,          9.2892e-06,            0.086613,           0.0071292,           0.0071292,           0.0071292
                  38,            0.058322,            0.011232,          1.2468e-05,            0.091977,             0.95031,             0.93072,             0.97312,             0.67737,            0.050876,             0.01217,          8.6888e-06,            0.085103,            0.006986,            0.006986,            0.006986
                  39,             0.05527,            0.011034,          1.1767e-05,            0.090848,             0.95349,             0.94682,             0.97193,             0.68584,            0.046805,            0.012048,          9.5788e-06,            0.087158,           0.0068409,           0.0068409,           0.0068409
                  40,            0.058205,             0.01076,          1.2857e-05,            0.090559,              0.9526,              0.9283,              0.9755,             0.73331,            0.048998,            0.011896,          9.0388e-06,            0.084148,            0.006694,            0.006694,            0.006694
                  41,            0.059568,            0.010914,          1.3073e-05,            0.091542,             0.95411,             0.91455,              0.9663,             0.67384,            0.048392,            0.012293,            9.92e-06,            0.085645,           0.0065454,           0.0065454,           0.0065454
                  42,            0.056691,            0.011435,          1.2125e-05,             0.08927,             0.94602,             0.97229,             0.97767,             0.69431,            0.046551,            0.011839,          8.6291e-06,            0.084019,           0.0063953,           0.0063953,           0.0063953
                  43,            0.054421,            0.010721,          1.1537e-05,            0.089679,             0.95327,             0.94221,             0.97059,             0.71041,            0.043457,            0.012156,           7.423e-06,             0.08407,           0.0062438,           0.0062438,           0.0062438
                  44,              0.0536,            0.010687,          1.0693e-05,            0.087731,             0.93832,              0.9515,             0.97174,             0.74311,            0.042697,            0.011614,          8.7144e-06,            0.083103,           0.0060911,           0.0060911,           0.0060911
                  45,            0.052321,            0.010549,          1.1561e-05,            0.088696,             0.92735,              0.9746,             0.97718,             0.71825,            0.043698,            0.011775,          7.5804e-06,            0.082891,           0.0059373,           0.0059373,           0.0059373
                  46,            0.052259,            0.010467,          9.8732e-06,            0.086643,             0.95259,             0.97447,             0.97899,              0.7627,            0.040903,            0.011163,          6.5611e-06,            0.081438,           0.0057826,           0.0057826,           0.0057826
                  47,            0.050305,            0.010002,          7.8873e-06,            0.085716,             0.95856,             0.96305,             0.97734,             0.73545,            0.040329,            0.011683,          5.4304e-06,            0.080201,           0.0056271,           0.0056271,           0.0056271
                  48,            0.050513,            0.010178,          7.9819e-06,            0.084947,              0.9465,             0.98152,             0.97887,             0.72929,            0.043006,            0.011126,          7.1113e-06,            0.080431,            0.005471,            0.005471,            0.005471
                  49,            0.051157,            0.010367,          8.0508e-06,            0.085206,             0.94892,             0.94457,             0.97519,             0.69892,            0.040915,            0.011916,          5.6941e-06,            0.079812,           0.0053144,           0.0053144,           0.0053144
                  50,            0.053236,            0.010314,          8.8997e-06,            0.087107,             0.95207,             0.96536,             0.97849,             0.65965,            0.047583,            0.011708,           5.996e-06,            0.082073,           0.0051575,           0.0051575,           0.0051575
