               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0099496,            0.037111,            0.038924,             0.75344,            0.077479,             0.10619,            0.019638,           0.0034815,           0.0092575,            0.033474,            0.025498,             0.63457,             0.00048,             0.00048,             0.09568
                   1,           0.0096401,            0.028147,            0.022507,             0.63229,            0.046641,             0.17318,            0.018661,           0.0028145,           0.0084773,            0.025282,             0.01311,             0.52502,          0.00096981,          0.00096981,             0.09127
                   2,            0.009185,            0.022907,            0.010068,              0.5049,            0.041241,             0.32743,            0.025519,           0.0042146,           0.0083655,            0.020249,            0.002855,             0.36182,           0.0014588,           0.0014588,            0.086859
                   3,           0.0080615,            0.019589,           0.0024953,             0.31892,             0.17047,             0.43363,             0.15176,            0.025964,            0.008177,            0.016318,          0.00038797,             0.20449,           0.0019465,           0.0019465,            0.082447
                   4,           0.0079162,            0.015304,           0.0005914,             0.21428,             0.24202,              0.6273,             0.19546,            0.038622,           0.0072284,            0.013757,          0.00012261,             0.17211,           0.0024323,           0.0024323,            0.078032
                   5,            0.007426,            0.014128,          0.00024058,             0.18987,             0.22703,             0.60177,             0.18752,            0.036306,           0.0065298,            0.012934,           0.0001515,             0.15993,           0.0029156,           0.0029156,            0.073616
                   6,             0.00689,            0.013242,          0.00020601,             0.18089,              0.5781,             0.65487,              0.5016,             0.12207,           0.0058705,            0.012409,          0.00011459,             0.15926,           0.0033958,           0.0033958,            0.069196
                   7,           0.0067836,            0.012097,          0.00016675,             0.18278,             0.28824,             0.61947,             0.26012,            0.070356,           0.0068367,             0.01052,          0.00011323,             0.15644,           0.0038723,           0.0038723,            0.064772
                   8,           0.0069638,            0.010847,          0.00014474,             0.17501,             0.38713,             0.67257,             0.40408,            0.092989,           0.0061088,             0.01151,          0.00012269,             0.15504,           0.0043447,           0.0043447,            0.060345
                   9,           0.0074771,            0.010162,          0.00012915,             0.17312,             0.30725,             0.81416,             0.35084,            0.063942,           0.0065252,           0.0091098,          7.8549e-05,             0.15187,           0.0048123,           0.0048123,            0.055912
                  10,           0.0074521,           0.0096803,          0.00011462,             0.17064,             0.21119,             0.77714,             0.20941,            0.048501,           0.0066386,           0.0096701,          7.3902e-05,             0.15138,           0.0052747,           0.0052747,            0.051475
                  11,           0.0081982,           0.0093923,          0.00011063,              0.1738,             0.22202,             0.59292,             0.20663,             0.04002,           0.0079826,           0.0075426,          7.4971e-05,             0.14635,           0.0057312,           0.0057312,            0.047031
                  12,           0.0083536,           0.0084529,          8.5149e-05,             0.16484,             0.32006,             0.46018,             0.25489,            0.059453,           0.0077619,           0.0080145,          9.9467e-05,             0.15317,           0.0061814,           0.0061814,            0.042581
                  13,           0.0081847,           0.0079268,          7.6896e-05,             0.15975,             0.47912,             0.44248,             0.46105,             0.11844,           0.0076855,           0.0074648,          7.7729e-05,             0.13973,           0.0066246,           0.0066246,            0.038125
                  14,           0.0083351,           0.0078441,          7.0699e-05,             0.16245,             0.44843,             0.59292,             0.37748,             0.10051,            0.007129,           0.0080748,          7.5869e-05,             0.14508,           0.0070606,           0.0070606,            0.033661
                  15,           0.0078107,           0.0085215,           0.0001108,             0.16442,             0.41343,             0.57522,             0.44126,              0.1489,           0.0072291,            0.008196,          2.4358e-05,             0.13935,           0.0074886,           0.0074886,            0.029189
