               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01013,            0.037486,            0.043133,             0.78762,             0.08284,             0.11351,            0.022799,           0.0046199,           0.0099378,             0.03104,            0.033284,             0.70042,             4.8e-05,             4.8e-05,            0.095248
                   1,            0.010007,            0.030615,            0.032807,             0.71002,             0.01523,            0.026549,           0.0030173,          0.00054595,           0.0095767,             0.02854,            0.024043,             0.63744,          9.6978e-05,          9.6978e-05,            0.090397
                   2,           0.0099744,            0.026617,            0.025998,             0.67348,             0.00425,            0.053097,           0.0017823,          0.00036992,           0.0092276,            0.025859,            0.020894,             0.60195,          0.00014587,          0.00014587,            0.085546
                   3,           0.0098066,            0.024264,            0.021675,             0.62309,           0.0071586,            0.026549,            0.002862,          0.00039232,           0.0089627,              0.0246,            0.017176,             0.56049,          0.00019461,          0.00019461,            0.080695
                   4,           0.0097573,            0.022485,            0.017383,             0.59597,            0.020191,             0.17671,            0.012479,           0.0027807,           0.0085972,            0.022648,            0.013889,             0.52127,          0.00024313,          0.00024313,            0.075843
                   5,            0.009384,            0.021353,            0.013875,             0.55377,            0.034714,            0.088496,            0.017182,           0.0035378,           0.0082885,            0.021711,            0.010768,              0.4822,          0.00029138,          0.00029138,            0.070991
                   6,           0.0087604,            0.020633,            0.010591,             0.50322,            0.024087,             0.15044,            0.014362,           0.0024475,           0.0079621,            0.020912,           0.0081939,             0.44308,          0.00033927,          0.00033927,            0.066139
                   7,            0.008602,            0.019992,           0.0080857,             0.46686,            0.030946,             0.17699,            0.017837,           0.0031679,           0.0077672,            0.020317,            0.006093,             0.40158,          0.00038676,          0.00038676,            0.061287
                   8,           0.0079921,            0.019444,           0.0056542,             0.41157,            0.056426,             0.27434,            0.033609,           0.0068921,           0.0073792,            0.019752,           0.0039217,              0.3523,          0.00043378,          0.00043378,            0.056434
                   9,            0.008023,            0.019071,           0.0039104,              0.3629,             0.22253,             0.24779,              0.1175,            0.020889,           0.0072985,            0.018629,           0.0023529,             0.30056,          0.00048026,          0.00048026,             0.05158
                  10,           0.0079354,            0.017737,           0.0026066,             0.31074,             0.22497,             0.36221,             0.15052,            0.026769,           0.0074071,            0.016315,           0.0015536,             0.24938,          0.00052615,          0.00052615,            0.046726
                  11,            0.008117,            0.016441,           0.0017229,             0.27349,             0.24591,             0.43363,             0.20512,            0.036641,           0.0074369,            0.014756,          0.00086685,              0.2107,          0.00057138,          0.00057138,            0.041871
                  12,           0.0078621,            0.014742,          0.00092478,             0.22612,             0.34809,             0.46903,             0.26724,            0.056008,            0.007091,            0.013682,          0.00049231,             0.18625,           0.0006159,           0.0006159,            0.037016
                  13,           0.0075347,            0.013636,          0.00049524,             0.20358,             0.32809,             0.48673,              0.2556,            0.065309,           0.0068405,            0.012907,          0.00029191,             0.17422,          0.00065965,          0.00065965,             0.03216
                  14,           0.0074669,            0.013335,          0.00034128,             0.19679,             0.39064,             0.61838,             0.30425,            0.076358,           0.0067254,            0.012613,          0.00018805,             0.16747,          0.00070256,          0.00070256,            0.027303
                  15,           0.0072232,            0.013703,           0.0003241,             0.19402,             0.47111,             0.51327,             0.34085,            0.086876,           0.0064513,            0.012739,          0.00017863,             0.16414,           0.0007446,           0.0007446,            0.022445
                  16,           0.0069892,            0.012916,          0.00027341,             0.18353,             0.48461,             0.56637,             0.40911,             0.08566,           0.0061214,            0.012747,          0.00017139,             0.16092,          0.00078569,          0.00078569,            0.017586
                  17,           0.0067925,             0.01301,          0.00023106,             0.18117,             0.48747,             0.53026,             0.36686,             0.10057,           0.0061576,            0.012184,          0.00014672,             0.15899,          0.00082579,          0.00082579,            0.012726
                  18,           0.0066891,            0.012987,          0.00020986,             0.18293,             0.28433,             0.56605,             0.28889,            0.062443,           0.0055028,            0.012822,          0.00013711,             0.15723,          0.00086485,          0.00086485,           0.0078649
                  19,           0.0061192,            0.013233,          0.00018384,             0.18105,             0.36481,             0.62832,              0.3995,            0.089955,           0.0053101,            0.012288,          0.00013449,             0.15506,          0.00090282,          0.00090282,           0.0030028
                  20,           0.0059697,            0.012554,          0.00016525,             0.17529,             0.30786,             0.62832,             0.32286,            0.070565,           0.0051498,            0.012106,          0.00012399,             0.15394,          0.00091406,          0.00091406,          0.00091406
                  21,            0.005767,            0.012494,          0.00016552,             0.16995,             0.34477,             0.70777,             0.30755,            0.058013,           0.0054608,            0.011293,          0.00012045,             0.15259,          0.00091406,          0.00091406,          0.00091406
                  22,           0.0062229,            0.011963,          0.00015195,             0.18078,             0.58579,             0.66331,              0.5382,             0.16143,           0.0049826,            0.011555,          0.00011114,             0.15212,          0.00090557,          0.00090557,          0.00090557
                  23,           0.0058399,            0.011688,           0.0001266,             0.17191,             0.54822,             0.75221,             0.49158,             0.14979,           0.0049642,            0.011393,          0.00010126,              0.1509,          0.00089673,          0.00089673,          0.00089673
                  24,           0.0059611,            0.011415,          0.00011397,             0.17203,              0.7997,             0.81416,             0.79852,             0.20705,            0.004714,            0.011272,          8.4921e-05,             0.14945,          0.00088755,          0.00088755,          0.00088755
                  25,           0.0056819,            0.011283,          9.9665e-05,             0.17121,             0.53738,             0.75221,             0.60866,             0.16211,           0.0049103,            0.010993,           8.365e-05,             0.14835,          0.00087804,          0.00087804,          0.00087804
                  26,           0.0057615,            0.011212,          0.00011421,             0.17102,              0.5084,             0.78761,             0.55413,              0.1427,           0.0048793,            0.010371,          8.0794e-05,             0.14918,           0.0008682,           0.0008682,           0.0008682
                  27,           0.0057393,            0.010666,          0.00010445,             0.16617,             0.65639,             0.84956,             0.72453,             0.22394,           0.0049536,            0.010407,          7.7739e-05,             0.14808,          0.00085805,          0.00085805,          0.00085805
                  28,            0.005453,            0.010408,          8.7702e-05,             0.16266,             0.49664,             0.87611,             0.56418,             0.16228,           0.0049969,            0.010216,           7.812e-05,             0.14647,          0.00084759,          0.00084759,          0.00084759
                  29,           0.0055087,            0.010314,          8.8862e-05,             0.16446,             0.83799,             0.77818,             0.85279,             0.31205,           0.0049175,           0.0096742,          6.7191e-05,             0.14521,          0.00083684,          0.00083684,          0.00083684
                  30,           0.0053324,            0.010581,          8.8685e-05,             0.16448,              0.6631,             0.59222,             0.61337,             0.13237,           0.0047481,           0.0096778,          6.1221e-05,             0.14424,          0.00082581,          0.00082581,          0.00082581
                  31,           0.0055528,            0.010397,          8.6639e-05,             0.17064,             0.63999,             0.78761,             0.68518,             0.20747,           0.0048644,           0.0096383,          6.5411e-05,             0.14329,           0.0008145,           0.0008145,           0.0008145
                  32,           0.0052831,            0.010013,          8.0278e-05,              0.1593,             0.51611,             0.83186,             0.54694,             0.13617,           0.0052689,           0.0094461,           6.344e-05,             0.14125,          0.00080294,          0.00080294,          0.00080294
                  33,           0.0052477,           0.0097348,          6.6892e-05,             0.15398,              0.8421,             0.84954,             0.87529,             0.32892,           0.0046595,           0.0095287,          6.5764e-05,             0.13943,          0.00079112,          0.00079112,          0.00079112
                  34,           0.0054361,            0.010068,          0.00010344,             0.16345,             0.52636,             0.77876,             0.67402,             0.17862,           0.0047043,           0.0096054,          6.2609e-05,             0.13842,          0.00077907,          0.00077907,          0.00077907
                  35,           0.0054079,           0.0097159,          7.1918e-05,             0.15985,             0.41565,             0.81416,             0.46698,              0.1396,           0.0051116,           0.0091955,          3.9546e-05,              0.1363,          0.00076679,          0.00076679,          0.00076679
                  36,           0.0053369,            0.009777,           6.099e-05,             0.15211,             0.69561,             0.75221,             0.72734,             0.19321,             0.00473,           0.0094189,          5.1034e-05,             0.13485,           0.0007543,           0.0007543,           0.0007543
                  37,           0.0052884,           0.0095601,          6.2018e-05,             0.15399,              0.5312,             0.67257,             0.62152,             0.15734,           0.0048993,           0.0091201,          3.6389e-05,             0.13371,           0.0007416,           0.0007416,           0.0007416
                  38,           0.0052881,           0.0096611,          5.6542e-05,             0.15151,             0.64316,             0.81416,             0.75409,              0.2322,           0.0045725,           0.0091144,          4.4972e-05,             0.13379,          0.00072872,          0.00072872,          0.00072872
                  39,           0.0054465,            0.009368,          4.7949e-05,             0.15224,             0.54702,             0.68142,             0.62112,             0.18084,           0.0051231,           0.0090649,          3.8706e-05,              0.1321,          0.00071566,          0.00071566,          0.00071566
                  40,           0.0055962,           0.0091419,          5.1742e-05,             0.15053,             0.73473,             0.85841,             0.83245,             0.27745,           0.0045669,           0.0091108,          3.7425e-05,             0.13009,          0.00070243,          0.00070243,          0.00070243
                  41,           0.0052642,           0.0091589,          5.9919e-05,             0.14562,              0.7803,             0.91149,               0.837,             0.32965,           0.0046071,           0.0088351,          3.6939e-05,             0.12831,          0.00068906,          0.00068906,          0.00068906
                  42,           0.0055519,           0.0093472,          5.4455e-05,             0.15182,             0.63586,             0.80531,             0.74927,             0.21893,           0.0049282,           0.0088494,          3.4125e-05,             0.12713,          0.00067555,          0.00067555,          0.00067555
                  43,           0.0052088,           0.0090772,          5.0802e-05,             0.14313,             0.88232,              0.9289,             0.91515,             0.35763,           0.0044943,           0.0087903,          3.6281e-05,             0.12535,          0.00066191,          0.00066191,          0.00066191
                  44,           0.0051975,           0.0092348,          5.2083e-05,              0.1451,               0.811,             0.91134,             0.88959,             0.34834,           0.0045386,           0.0087519,          3.7793e-05,             0.12463,          0.00064816,          0.00064816,          0.00064816
                  45,           0.0052848,           0.0092152,          4.7657e-05,             0.14572,             0.80448,             0.94669,             0.89087,             0.36542,           0.0046416,           0.0087235,          2.8212e-05,             0.12183,          0.00063432,          0.00063432,          0.00063432
                  46,            0.005293,           0.0089769,          5.2472e-05,             0.14409,             0.79979,             0.84847,             0.77829,             0.27634,            0.004893,           0.0086192,          3.0836e-05,             0.11987,           0.0006204,           0.0006204,           0.0006204
                  47,            0.005232,           0.0088986,          4.9357e-05,             0.13983,             0.90265,              0.9115,             0.94697,             0.35084,           0.0047331,           0.0086224,             2.9e-05,             0.11857,           0.0006064,           0.0006064,           0.0006064
                  48,           0.0052167,           0.0088057,          5.2873e-05,              0.1392,             0.86065,             0.92913,             0.91894,             0.41639,           0.0047731,            0.008506,          2.9846e-05,              0.1183,          0.00059235,          0.00059235,          0.00059235
                  49,           0.0053032,           0.0087641,          5.0779e-05,             0.14129,             0.76068,              0.9292,             0.83339,             0.35621,           0.0049102,           0.0085952,          2.7775e-05,             0.11751,          0.00057826,          0.00057826,          0.00057826
                  50,           0.0053182,           0.0088775,               4e-05,             0.13392,             0.75674,              0.9115,             0.83922,             0.28309,            0.004848,           0.0086003,          2.9367e-05,             0.11704,          0.00056413,          0.00056413,          0.00056413
                  51,           0.0055693,           0.0089085,          6.1623e-05,             0.14205,              0.7575,             0.88459,             0.79338,             0.29663,            0.004792,            0.008503,          2.4729e-05,             0.11583,             0.00055,             0.00055,             0.00055
                  52,           0.0054006,           0.0087473,           3.979e-05,              0.1378,             0.80442,             0.94637,             0.90689,             0.39972,           0.0047918,           0.0084773,           3.222e-05,             0.11489,          0.00053587,          0.00053587,          0.00053587
                  53,           0.0053954,           0.0087231,          4.2389e-05,             0.13219,             0.89213,             0.87611,             0.92003,             0.31098,           0.0050555,           0.0084358,          2.3609e-05,             0.11291,          0.00052174,          0.00052174,          0.00052174
                  54,           0.0055006,           0.0086159,           4.044e-05,             0.13144,              0.8666,             0.91984,              0.9242,             0.32427,           0.0047284,           0.0084945,          2.4875e-05,             0.11139,          0.00050765,          0.00050765,          0.00050765
                  55,           0.0053552,           0.0087882,          5.1637e-05,             0.13281,              0.8745,              0.9292,             0.92954,             0.32766,           0.0047829,           0.0084701,          2.6178e-05,             0.11136,           0.0004936,           0.0004936,           0.0004936
                  56,           0.0057059,           0.0087397,          4.0952e-05,             0.13159,             0.66387,             0.85841,             0.75291,             0.23417,           0.0051766,           0.0083034,          2.7395e-05,             0.11108,           0.0004796,           0.0004796,           0.0004796
                  57,           0.0053939,            0.008896,           4.049e-05,             0.12879,             0.81577,             0.82293,             0.90154,             0.30774,           0.0048016,           0.0085435,          2.8905e-05,             0.10944,          0.00046568,          0.00046568,          0.00046568
                  58,           0.0052367,           0.0088314,          3.6848e-05,             0.12555,             0.76252,             0.93805,             0.85491,             0.26389,           0.0048108,           0.0083836,            2.87e-05,             0.10929,          0.00045184,          0.00045184,          0.00045184
                  59,           0.0054559,           0.0087538,          4.4607e-05,             0.13063,             0.76009,             0.89722,             0.84296,             0.25747,            0.004672,           0.0084319,          2.6895e-05,             0.10769,          0.00043809,          0.00043809,          0.00043809
                  60,           0.0053394,           0.0085876,          4.1862e-05,             0.12688,             0.82258,             0.90264,             0.87865,             0.34815,           0.0046981,           0.0084289,          2.0831e-05,             0.10477,          0.00042445,          0.00042445,          0.00042445
                  61,           0.0050417,           0.0086178,          3.3199e-05,             0.12134,             0.81282,             0.88385,             0.84193,             0.30125,           0.0046706,           0.0082472,          2.4839e-05,             0.10385,          0.00041094,          0.00041094,          0.00041094
                  62,           0.0053075,           0.0085831,          3.4701e-05,             0.12361,             0.80331,             0.88496,             0.89617,             0.32073,           0.0047791,           0.0082269,          2.7832e-05,             0.10347,          0.00039757,          0.00039757,          0.00039757
                  63,           0.0050326,           0.0084227,          3.4553e-05,             0.11711,             0.78259,             0.95566,               0.873,             0.30383,           0.0047563,           0.0082283,          2.4568e-05,             0.10238,          0.00038434,          0.00038434,          0.00038434
                  64,           0.0050562,            0.008435,          2.8959e-05,             0.11531,             0.73036,             0.93805,             0.87509,             0.32116,           0.0046681,           0.0083183,           2.206e-05,             0.10044,          0.00037128,          0.00037128,          0.00037128
                  65,            0.005054,           0.0085275,          3.5573e-05,             0.11716,             0.87177,             0.90243,             0.92178,             0.42008,           0.0044731,           0.0082109,          2.3866e-05,            0.099956,           0.0003584,           0.0003584,           0.0003584
                  66,           0.0053751,           0.0086101,           3.248e-05,              0.1209,             0.75711,             0.93789,             0.85809,             0.34242,           0.0045614,           0.0081186,          2.3686e-05,            0.099033,           0.0003457,           0.0003457,           0.0003457
                  67,           0.0052195,           0.0084434,          2.9448e-05,             0.11526,             0.81813,             0.95575,             0.90685,             0.40562,           0.0045187,           0.0080293,          2.4592e-05,            0.099033,          0.00033321,          0.00033321,          0.00033321
                  68,           0.0051279,           0.0084974,          2.7762e-05,             0.11383,              0.8499,             0.90265,             0.87586,             0.34474,           0.0045116,           0.0080012,          2.3182e-05,            0.097689,          0.00032093,          0.00032093,          0.00032093
                  69,           0.0051646,           0.0084117,          3.1341e-05,             0.11613,             0.87157,             0.90265,             0.89067,             0.35182,           0.0044072,           0.0080428,           2.236e-05,            0.096173,          0.00030888,          0.00030888,          0.00030888
                  70,           0.0053037,           0.0083683,          2.9151e-05,             0.11225,             0.82273,              0.9469,             0.92112,             0.38708,           0.0044416,           0.0081098,          2.3207e-05,            0.095798,          0.00029706,          0.00029706,          0.00029706
                  71,           0.0050071,           0.0084328,          2.8646e-05,             0.11091,             0.78616,              0.9115,              0.8354,             0.31302,           0.0045667,           0.0080984,          2.4956e-05,            0.096036,           0.0002855,           0.0002855,           0.0002855
                  72,           0.0051276,           0.0082643,          3.5098e-05,             0.11264,             0.79843,              0.9469,             0.90684,             0.38071,           0.0045793,           0.0080277,          2.5727e-05,             0.09569,          0.00027419,          0.00027419,          0.00027419
                  73,             0.00534,           0.0082302,          3.4275e-05,             0.11695,             0.76789,             0.93805,              0.8562,             0.30621,           0.0046953,           0.0080555,          2.2983e-05,            0.094985,          0.00026316,          0.00026316,          0.00026316
                  74,            0.004904,           0.0082959,          3.0092e-05,             0.11314,             0.88968,             0.93805,             0.92664,             0.41961,           0.0045638,           0.0079268,          2.2465e-05,            0.094425,          0.00025241,          0.00025241,          0.00025241
                  75,           0.0052666,           0.0084201,          2.8985e-05,             0.11491,             0.85694,             0.95417,             0.92766,             0.44741,           0.0045206,           0.0078484,            2.32e-05,            0.093937,          0.00024195,          0.00024195,          0.00024195
                  76,           0.0052703,           0.0081323,          2.8439e-05,             0.11129,             0.87287,             0.91139,             0.90089,             0.44261,           0.0045013,           0.0078366,          2.5705e-05,            0.093632,           0.0002318,           0.0002318,           0.0002318
                  77,           0.0051074,           0.0082165,          2.8647e-05,             0.10923,             0.84726,             0.88365,             0.88362,             0.41361,           0.0044673,           0.0078886,          2.4073e-05,            0.092472,          0.00022196,          0.00022196,          0.00022196
                  78,           0.0052005,           0.0083269,          2.9352e-05,             0.11049,             0.88163,             0.99115,              0.9504,             0.44984,           0.0044027,           0.0079389,          2.4913e-05,            0.092228,          0.00021245,          0.00021245,          0.00021245
                  79,            0.005179,           0.0082821,          2.6759e-05,             0.11049,             0.87291,             0.97345,              0.9254,             0.44691,           0.0045222,            0.007974,          2.3566e-05,            0.092056,          0.00020327,          0.00020327,          0.00020327
                  80,           0.0050983,           0.0081091,          2.8172e-05,             0.10882,             0.90053,              0.9646,             0.93308,              0.4176,           0.0044895,           0.0079784,           2.235e-05,            0.091264,          0.00019443,          0.00019443,          0.00019443
                  81,           0.0053693,           0.0081166,          2.6947e-05,             0.11051,             0.84223,              0.9469,             0.90854,             0.39856,           0.0045073,           0.0078883,          2.1862e-05,            0.091171,          0.00018594,          0.00018594,          0.00018594
                  82,            0.004875,            0.008102,          2.6648e-05,             0.10404,             0.90189,              0.9292,             0.94661,             0.44306,           0.0045345,           0.0078263,          2.1759e-05,            0.091185,          0.00017781,          0.00017781,          0.00017781
                  83,             0.00524,            0.008365,          3.1776e-05,              0.1106,             0.88429,              0.9469,             0.94975,              0.4328,           0.0045382,           0.0077949,          2.0746e-05,            0.090635,          0.00017005,          0.00017005,          0.00017005
                  84,           0.0051916,           0.0082335,          2.4672e-05,              0.1093,             0.87576,             0.93805,             0.94373,             0.45493,           0.0045271,           0.0077551,          2.0598e-05,            0.090518,          0.00016267,          0.00016267,          0.00016267
                  85,           0.0051001,           0.0081988,          2.9967e-05,             0.10458,             0.88634,              0.9115,             0.92266,             0.42468,           0.0044977,           0.0077348,          1.9988e-05,            0.089899,          0.00015566,          0.00015566,          0.00015566
                  86,           0.0051918,           0.0082271,          2.6869e-05,             0.10877,             0.85933,             0.97306,             0.92107,             0.43575,           0.0045225,           0.0077247,          2.1021e-05,            0.089934,          0.00014905,          0.00014905,          0.00014905
                  87,           0.0052334,           0.0082511,          3.3206e-05,             0.10978,             0.87088,             0.95575,             0.95184,             0.46439,           0.0044644,           0.0077047,          2.2597e-05,            0.090328,          0.00014283,          0.00014283,          0.00014283
                  88,           0.0049925,           0.0082721,           2.493e-05,             0.10538,             0.87089,             0.95575,             0.94167,              0.4671,           0.0044238,            0.007731,          2.2738e-05,            0.089675,          0.00013701,          0.00013701,          0.00013701
                  89,           0.0051371,           0.0082791,          3.3891e-05,             0.10687,             0.88211,              0.9292,             0.95123,             0.42963,           0.0045122,           0.0077815,          2.3182e-05,            0.088827,           0.0001316,           0.0001316,           0.0001316
                  90,            0.005137,           0.0080784,           2.875e-05,              0.1071,             0.90162,             0.97327,             0.96587,             0.45832,           0.0044549,           0.0077805,          2.2415e-05,            0.087947,           0.0001266,           0.0001266,           0.0001266
                  91,           0.0053238,           0.0079943,          3.5394e-05,             0.10661,             0.88782,              0.9823,              0.9397,             0.42188,           0.0044581,           0.0077431,          2.1748e-05,            0.087585,          0.00012202,          0.00012202,          0.00012202
                  92,           0.0050839,           0.0082838,          3.1023e-05,             0.10421,             0.87376,              0.9823,             0.95901,             0.43257,           0.0044773,           0.0077291,          2.1109e-05,            0.087058,          0.00011787,          0.00011787,          0.00011787
                  93,           0.0052261,           0.0081093,          2.9281e-05,             0.10559,             0.85928,             0.97268,             0.93856,             0.44954,            0.004476,            0.007725,           2.116e-05,            0.087043,          0.00011414,          0.00011414,          0.00011414
                  94,           0.0051041,           0.0081719,           2.941e-05,             0.10566,             0.91894,              0.9115,             0.93193,             0.45945,            0.004503,           0.0077432,           2.123e-05,            0.086779,          0.00011084,          0.00011084,          0.00011084
                  95,           0.0052577,           0.0082985,          2.9231e-05,             0.10726,             0.88772,              0.9115,             0.94497,             0.44855,           0.0045317,           0.0077687,          2.0817e-05,            0.086427,          0.00010797,          0.00010797,          0.00010797
                  96,           0.0051391,           0.0082977,          2.5047e-05,             0.10473,             0.82696,             0.97345,             0.93475,             0.44194,           0.0045362,           0.0077285,          2.0254e-05,            0.086533,          0.00010554,          0.00010554,          0.00010554
                  97,           0.0052004,           0.0084717,          2.7391e-05,             0.10536,             0.84244,              0.9469,             0.91638,             0.42697,           0.0045178,           0.0077056,          1.9573e-05,            0.086495,          0.00010355,          0.00010355,          0.00010355
                  98,           0.0052259,           0.0081472,          3.1115e-05,              0.1045,             0.89459,              0.9823,             0.95959,             0.45964,           0.0044375,           0.0076848,          2.0143e-05,            0.086941,            0.000102,            0.000102,            0.000102
                  99,           0.0051181,           0.0080499,          3.2852e-05,             0.10486,             0.87294,             0.97345,              0.9619,             0.44578,           0.0044997,            0.007707,          1.9825e-05,            0.086804,          0.00010089,          0.00010089,          0.00010089
