               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067162,            0.024498,           0.0042147,             0.23381,             0.63425,             0.42494,             0.44617,             0.12265,            0.053515,            0.043992,          0.00031904,             0.18071,             0.00128,             0.00128,             0.08848
                   1,            0.052346,            0.015569,          0.00021825,             0.18315,              0.6097,              0.7806,             0.66526,             0.22145,            0.048249,             0.03204,          0.00012507,             0.16827,           0.0025698,           0.0025698,             0.07687
                   2,            0.050944,            0.014037,          0.00011109,             0.16781,             0.33575,              0.3418,             0.33183,              0.1179,             0.04863,            0.070599,          7.9314e-05,             0.15439,            0.003859,            0.003859,            0.065259
                   3,            0.049641,            0.014356,          8.4235e-05,             0.15952,             0.55913,             0.48961,             0.50441,             0.16316,            0.051477,            0.072358,          4.8273e-05,             0.15166,           0.0051471,           0.0051471,            0.053647
                   4,            0.052999,            0.015005,          6.0231e-05,             0.15128,             0.66085,              0.5358,             0.58757,             0.22651,            0.046628,             0.02664,          4.2352e-05,             0.14778,           0.0064336,           0.0064336,            0.042034
                   5,            0.050544,            0.015098,          4.4005e-05,             0.14321,             0.61919,             0.61663,             0.65178,             0.27601,            0.045625,            0.046249,          3.9774e-05,             0.13636,           0.0077181,           0.0077181,            0.030418
                   6,            0.047413,             0.01378,          3.2779e-05,             0.13713,             0.71004,             0.60046,             0.64445,             0.25286,            0.045835,            0.019418,          1.9346e-05,             0.13167,               0.009,               0.009,              0.0188
                   7,            0.049737,            0.014087,           2.692e-05,             0.13384,             0.83885,             0.60108,             0.71241,             0.32894,            0.050335,            0.061777,          3.5937e-05,             0.12646,           0.0099698,           0.0099698,           0.0099698
                   8,            0.048972,             0.01441,          3.3388e-05,             0.12893,             0.66631,             0.72517,             0.72939,             0.29351,            0.046785,            0.035019,          3.5623e-05,             0.12182,           0.0099698,           0.0099698,           0.0099698
                   9,            0.050957,             0.01415,          2.6986e-05,             0.12323,             0.85743,             0.72517,             0.83747,             0.38565,            0.040567,            0.021497,          2.1127e-05,             0.11737,           0.0099606,           0.0099606,           0.0099606
                  10,            0.044819,            0.013338,          2.1234e-05,             0.12073,             0.77243,             0.76821,             0.83027,             0.38177,             0.03962,             0.02702,          1.7808e-05,             0.11357,           0.0099501,           0.0099501,           0.0099501
                  11,            0.044322,            0.012994,          1.8495e-05,             0.11353,             0.81424,             0.73903,             0.82993,              0.3971,            0.039287,            0.026408,          1.1856e-05,             0.10954,           0.0099384,           0.0099384,           0.0099384
                  12,            0.043098,            0.012784,           1.623e-05,             0.11316,             0.87619,             0.81718,             0.88158,             0.44046,            0.038275,            0.018004,          1.2662e-05,             0.10656,           0.0099256,           0.0099256,           0.0099256
                  13,             0.04118,            0.012287,          1.5649e-05,             0.10856,             0.83887,             0.73441,             0.82869,             0.37387,            0.040991,            0.020226,           1.619e-05,             0.11494,           0.0099114,           0.0099114,           0.0099114
                  14,             0.04242,            0.012216,          1.6115e-05,             0.10822,              0.8251,             0.85219,             0.88367,             0.41681,            0.038487,            0.015954,          1.5878e-05,             0.10191,           0.0098961,           0.0098961,           0.0098961
                  15,            0.041725,            0.012091,          1.7557e-05,             0.10452,             0.88052,             0.81986,             0.86635,             0.42024,            0.037647,            0.016095,          1.6049e-05,             0.10045,           0.0098796,           0.0098796,           0.0098796
                  16,            0.040154,            0.011981,          1.8334e-05,             0.10135,             0.82734,              0.8521,             0.87298,             0.41569,            0.037627,            0.016661,          1.6449e-05,            0.097292,           0.0098619,           0.0098619,           0.0098619
                  17,            0.040678,            0.011852,          1.4579e-05,            0.098835,             0.88573,             0.82349,             0.88766,             0.44083,            0.038374,            0.017591,           1.359e-05,            0.096939,           0.0098429,           0.0098429,           0.0098429
                  18,            0.040382,            0.011794,          1.6435e-05,            0.097986,             0.86118,             0.84526,             0.90622,             0.44079,            0.036229,            0.015641,          1.3129e-05,            0.093929,           0.0098228,           0.0098228,           0.0098228
                  19,            0.040591,            0.011618,          1.6658e-05,            0.094903,             0.92856,             0.90054,             0.94381,             0.50899,            0.035917,            0.041053,          1.4057e-05,            0.090791,           0.0098015,           0.0098015,           0.0098015
                  20,            0.040194,            0.011713,          1.3582e-05,            0.091769,             0.91066,             0.91917,             0.95492,             0.52051,            0.033338,            0.014863,          1.0716e-05,            0.088013,            0.009779,            0.009779,            0.009779
                  21,             0.03926,            0.011274,          1.1503e-05,            0.090414,             0.92397,             0.90069,             0.94292,             0.54556,             0.03514,            0.015206,          9.4997e-06,            0.088516,           0.0097553,           0.0097553,           0.0097553
                  22,            0.038022,            0.011211,          1.1077e-05,            0.090917,              0.9282,             0.89574,             0.95415,             0.55819,            0.034414,            0.013965,          7.9129e-06,            0.084039,           0.0097305,           0.0097305,           0.0097305
                  23,            0.039294,            0.011426,          1.1621e-05,            0.089324,             0.90293,             0.92373,             0.94687,              0.5285,            0.034256,            0.014701,           1.047e-05,            0.084549,           0.0097044,           0.0097044,           0.0097044
                  24,            0.040854,            0.011242,           1.614e-05,            0.090879,             0.90396,             0.89127,             0.94511,             0.53079,            0.034353,            0.014917,           1.314e-05,             0.08528,           0.0096773,           0.0096773,           0.0096773
                  25,            0.038648,            0.011452,          1.5153e-05,            0.091566,             0.87984,             0.87937,             0.92289,             0.48662,             0.03523,            0.015504,          1.4224e-05,            0.091248,           0.0096489,           0.0096489,           0.0096489
                  26,            0.037012,            0.011219,          1.5566e-05,            0.090378,             0.87877,              0.9375,             0.94318,             0.52678,            0.032885,             0.01433,            1.32e-05,            0.082748,           0.0096194,           0.0096194,           0.0096194
                  27,            0.037215,            0.011134,           1.297e-05,            0.086922,             0.90889,              0.8545,             0.93717,               0.533,            0.034362,            0.014347,          8.3989e-06,            0.083344,           0.0095888,           0.0095888,           0.0095888
                  28,            0.036767,            0.011003,          1.0429e-05,            0.084732,             0.91155,             0.92822,             0.96456,             0.55039,            0.032252,            0.014036,          8.1056e-06,             0.08387,           0.0095571,           0.0095571,           0.0095571
                  29,            0.036009,            0.010873,          9.8513e-06,            0.083626,             0.91261,             0.91648,             0.95523,             0.59591,            0.030918,            0.014209,          7.8772e-06,            0.077154,           0.0095242,           0.0095242,           0.0095242
                  30,            0.035694,             0.01081,          1.4522e-05,            0.084992,             0.27517,             0.68129,             0.24232,             0.11787,            0.040529,              24.896,          1.0766e-05,             0.11031,           0.0094902,           0.0094902,           0.0094902
                  31,            0.042531,            0.014112,          1.5125e-05,            0.094908,             0.54898,             0.59815,              0.5786,             0.27352,            0.040886,             0.02623,          1.5964e-05,             0.10905,           0.0094551,           0.0094551,           0.0094551
                  32,            0.040952,            0.014001,          1.8698e-05,            0.093208,             0.83324,             0.77317,             0.84861,             0.43337,            0.037147,            0.019916,          1.3233e-05,            0.092283,           0.0094189,           0.0094189,           0.0094189
                  33,            0.040061,            0.012934,           1.666e-05,            0.092165,             0.84156,             0.80963,             0.87551,              0.4661,            0.035858,            0.016821,          1.1804e-05,            0.086667,           0.0093816,           0.0093816,           0.0093816
                  34,            0.038788,             0.01223,          1.2015e-05,            0.087711,             0.90768,             0.84013,             0.91838,             0.45488,            0.035674,            0.015864,          8.8182e-06,            0.083052,           0.0093432,           0.0093432,           0.0093432
                  35,            0.038244,             0.01199,           1.018e-05,            0.085416,              0.8738,              0.8475,             0.90727,             0.45589,            0.034587,            0.015607,          7.8282e-06,            0.078853,           0.0093038,           0.0093038,           0.0093038
                  36,            0.037493,            0.011746,          9.0051e-06,            0.083086,             0.89616,             0.91683,              0.9523,             0.54057,            0.031276,            0.015243,          6.8258e-06,            0.078405,           0.0092633,           0.0092633,           0.0092633
                  37,            0.035977,            0.011416,          9.2956e-06,            0.083313,             0.88128,             0.87431,             0.90977,              0.5261,            0.032082,             0.01501,          7.1092e-06,            0.078773,           0.0092217,           0.0092217,           0.0092217
                  38,             0.03552,            0.011222,          1.0723e-05,            0.082504,             0.91484,             0.87067,             0.94109,             0.54489,            0.030898,            0.014721,             8.3e-06,            0.077886,           0.0091791,           0.0091791,           0.0091791
                  39,            0.036426,            0.011074,          9.6531e-06,            0.081259,             0.90179,             0.84988,             0.92882,             0.56877,            0.032072,            0.016305,          9.3464e-06,            0.079063,           0.0091355,           0.0091355,           0.0091355
                  40,            0.035963,            0.011108,          1.0299e-05,            0.080626,             0.90957,             0.86143,             0.91866,             0.54614,             0.03203,            0.014761,          8.5491e-06,            0.074721,           0.0090908,           0.0090908,           0.0090908
                  41,            0.038179,            0.011019,          1.0604e-05,            0.080558,             0.91236,             0.93762,             0.95288,             0.57364,            0.031077,             0.01401,          9.0089e-06,            0.073516,           0.0090452,           0.0090452,           0.0090452
                  42,            0.035318,            0.010745,           1.031e-05,            0.077619,             0.89437,             0.91904,             0.95543,             0.58576,            0.031451,            0.014033,          7.7896e-06,            0.075323,           0.0089985,           0.0089985,           0.0089985
                  43,             0.03687,            0.010625,          8.9452e-06,            0.078035,             0.89292,             0.90513,             0.94575,             0.57683,             0.03139,            0.014235,          8.1467e-06,            0.073643,           0.0089509,           0.0089509,           0.0089509
                  44,            0.035849,            0.010979,          1.0234e-05,            0.079629,             0.90311,             0.90762,              0.9583,             0.59321,            0.029489,            0.013816,          8.9914e-06,            0.074349,           0.0089023,           0.0089023,           0.0089023
                  45,             0.03538,            0.010866,          1.1241e-05,            0.080238,             0.90042,               0.903,             0.94783,             0.59302,            0.030271,            0.014083,          9.0797e-06,            0.074582,           0.0088527,           0.0088527,           0.0088527
                  46,            0.034974,             0.01073,          1.2346e-05,            0.079351,             0.88671,             0.92379,             0.94816,              0.5855,             0.03117,            0.013898,          8.9682e-06,            0.074741,           0.0088021,           0.0088021,           0.0088021
                  47,            0.034049,            0.010599,          1.0308e-05,            0.078813,             0.89883,             0.92379,             0.95408,             0.58622,            0.029829,            0.013591,          8.0997e-06,            0.077097,           0.0087507,           0.0087507,           0.0087507
                  48,             0.03361,            0.010652,           9.952e-06,             0.07764,             0.91871,             0.93966,             0.96878,             0.63418,            0.029857,            0.013569,          7.3889e-06,             0.07252,           0.0086983,           0.0086983,           0.0086983
                  49,            0.034431,             0.01046,          8.0721e-06,            0.077278,              0.9341,             0.91656,             0.95689,              0.5748,            0.029844,            0.013831,          6.7655e-06,            0.076263,            0.008645,            0.008645,            0.008645
                  50,            0.034621,             0.01052,          9.5004e-06,             0.08018,             0.89741,             0.93072,             0.95434,             0.57541,            0.030678,            0.013918,          7.6766e-06,            0.076175,           0.0085908,           0.0085908,           0.0085908
                  51,            0.035747,            0.010683,          1.0575e-05,            0.080207,             0.92609,             0.90069,             0.95658,             0.54873,            0.034598,            0.014279,          9.1469e-06,            0.076496,           0.0085357,           0.0085357,           0.0085357
                  52,            0.036155,            0.010688,          1.0679e-05,            0.077664,             0.88687,             0.90762,             0.94492,             0.53756,            0.033236,            0.014669,          8.3017e-06,            0.074241,           0.0084797,           0.0084797,           0.0084797
                  53,            0.035538,            0.010517,          9.8832e-06,            0.074934,             0.94681,             0.90436,             0.95942,             0.54925,             0.03056,            0.013827,          8.1864e-06,            0.071549,           0.0084229,           0.0084229,           0.0084229
                  54,            0.034002,            0.010271,          9.9783e-06,            0.074933,             0.87896,             0.95612,             0.96043,             0.61458,            0.028995,            0.013422,           9.611e-06,            0.071409,           0.0083652,           0.0083652,           0.0083652
                  55,            0.033923,            0.010403,          1.0072e-05,            0.078482,             0.89426,             0.93756,             0.95825,             0.59364,            0.030103,            0.013772,          7.9518e-06,            0.076903,           0.0083067,           0.0083067,           0.0083067
