               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13073,             0.02889,           0.0038103,             0.23102,             0.36316,             0.32003,             0.24064,            0.053375,             0.11999,            0.033076,          0.00035871,             0.18127,             0.00128,             0.00128,             0.08848
                   1,             0.10427,            0.021395,          0.00023316,             0.18534,             0.57514,             0.45035,             0.40095,              0.1176,              0.1043,            0.043772,           0.0059091,             0.19982,           0.0025694,           0.0025694,            0.076869
                   2,            0.098846,            0.018702,          0.00012539,             0.17878,             0.61957,              0.4664,             0.44829,             0.13702,             0.11976,            0.046246,          0.00012784,             0.16764,           0.0038562,           0.0038562,            0.065256
                   3,            0.093239,            0.017238,          7.9647e-05,             0.16997,              0.4485,             0.50898,              0.4453,             0.16469,            0.087605,            0.069237,          6.5796e-05,             0.16115,           0.0051386,           0.0051386,            0.053639
                   4,            0.095148,            0.017407,          7.2212e-05,             0.16233,             0.60106,             0.43147,             0.47165,             0.17851,            0.089826,            0.028335,          0.00012129,             0.15392,           0.0064146,           0.0064146,            0.042015
                   5,            0.087931,             0.01705,          6.5642e-05,              0.1535,             0.57915,             0.53811,             0.54451,             0.18506,            0.094461,            0.026808,          4.1065e-05,             0.14517,           0.0076824,           0.0076824,            0.030382
                   6,            0.091709,              0.0156,          3.6206e-05,             0.14637,             0.68921,             0.62483,              0.6757,             0.28038,            0.083208,            0.038187,          4.0081e-05,             0.14178,           0.0089401,           0.0089401,             0.01874
                   7,             0.09015,            0.015779,          3.3971e-05,             0.14148,             0.38073,             0.50547,             0.38156,              0.1427,             0.10838,            0.028956,          2.8136e-05,              0.1708,           0.0098796,           0.0098796,           0.0098796
                   8,            0.093874,            0.016719,          3.9925e-05,              0.1402,             0.68697,             0.63048,             0.66427,             0.25418,            0.081961,            0.020932,          3.6338e-05,              0.1394,           0.0098796,           0.0098796,           0.0098796
                   9,            0.095088,            0.016887,          3.5481e-05,             0.14032,             0.67897,             0.67667,             0.67255,             0.24438,            0.083893,            0.024649,          3.1796e-05,             0.13414,           0.0098429,           0.0098429,           0.0098429
                  10,            0.083172,            0.015431,          3.2058e-05,             0.13128,             0.63693,              0.6928,             0.73277,             0.35708,             0.07363,            0.024371,          2.6402e-05,             0.12372,           0.0098015,           0.0098015,           0.0098015
                  11,            0.078737,            0.014489,          2.4817e-05,             0.12633,             0.80797,             0.78711,             0.84933,             0.41728,            0.070331,            0.018305,          2.0759e-05,             0.12216,           0.0097553,           0.0097553,           0.0097553
                  12,              0.0773,              0.0139,           1.917e-05,             0.12412,             0.84039,             0.77829,              0.8628,             0.47272,            0.069324,            0.019938,          1.8127e-05,              0.1179,           0.0097044,           0.0097044,           0.0097044
                  13,            0.074438,            0.014328,           1.898e-05,             0.12143,             0.78578,             0.87298,             0.89183,             0.46329,            0.065199,            0.015565,          2.0334e-05,             0.11921,           0.0096489,           0.0096489,           0.0096489
                  14,            0.075043,            0.014391,          2.2057e-05,             0.11757,             0.82852,             0.81524,             0.88847,             0.46363,            0.063842,            0.016284,           2.626e-05,             0.11398,           0.0095888,           0.0095888,           0.0095888
                  15,            0.071335,            0.014368,          2.5111e-05,             0.11569,             0.82592,             0.85681,             0.89805,             0.48584,            0.067373,            0.017042,          2.0447e-05,             0.10879,           0.0095242,           0.0095242,           0.0095242
                  16,            0.070427,            0.013574,          2.1994e-05,              0.1138,             0.83269,             0.87529,             0.91711,             0.49083,            0.063755,            0.014438,          1.5377e-05,             0.11239,           0.0094551,           0.0094551,           0.0094551
                  17,            0.071628,            0.013235,          1.8292e-05,             0.11187,              0.8097,             0.87529,              0.8953,              0.5369,            0.059793,            0.014956,           1.989e-05,             0.10569,           0.0093816,           0.0093816,           0.0093816
                  18,            0.069725,            0.013702,          2.0893e-05,             0.10749,             0.90463,             0.81062,             0.91112,             0.51258,            0.064025,            0.015632,          1.8228e-05,             0.10532,           0.0093038,           0.0093038,           0.0093038
                  19,            0.071038,            0.013108,          1.8587e-05,             0.10694,             0.89103,             0.84988,             0.91887,             0.49274,            0.067827,            0.014806,          1.9167e-05,             0.10661,           0.0092217,           0.0092217,           0.0092217
                  20,            0.072434,            0.013124,          1.8636e-05,             0.10542,             0.85292,             0.89838,             0.90711,             0.48863,            0.067386,             0.01493,           1.657e-05,             0.10386,           0.0091355,           0.0091355,           0.0091355
                  21,            0.078493,            0.014349,          2.1208e-05,             0.10787,             0.66501,             0.64184,             0.62719,             0.24551,             0.11556,            0.023439,          1.9608e-05,             0.13854,           0.0090452,           0.0090452,           0.0090452
                  22,            0.075227,            0.014002,           2.633e-05,             0.10628,             0.86656,             0.75289,             0.84838,             0.42675,            0.064522,            0.017738,          2.2063e-05,             0.10153,           0.0089509,           0.0089509,           0.0089509
                  23,            0.072441,            0.013212,          2.1831e-05,             0.10394,              0.9109,             0.82217,             0.93215,             0.55218,            0.064607,            0.015565,          1.8533e-05,            0.099265,           0.0088527,           0.0088527,           0.0088527
                  24,            0.071376,            0.013501,          2.1409e-05,             0.10211,             0.89128,             0.85199,             0.91696,             0.48393,            0.061247,            0.015387,          1.8542e-05,            0.097856,           0.0087507,           0.0087507,           0.0087507
                  25,            0.071146,            0.013422,          2.0056e-05,              0.1007,             0.88988,             0.87715,             0.93357,             0.54514,            0.061967,            0.015286,          1.9906e-05,            0.098306,            0.008645,            0.008645,            0.008645
                  26,            0.067213,             0.01278,          1.7741e-05,             0.09834,             0.91483,             0.86822,              0.9461,             0.57331,            0.059153,            0.014699,          1.5674e-05,            0.092955,           0.0085357,           0.0085357,           0.0085357
                  27,            0.065543,            0.013087,           1.509e-05,             0.09585,             0.94465,             0.84527,             0.94516,             0.60108,            0.053429,            0.014358,          1.2977e-05,            0.088648,           0.0084229,           0.0084229,           0.0084229
                  28,             0.06459,            0.012565,          1.2505e-05,            0.094155,             0.92686,             0.91224,             0.96667,             0.61801,            0.055512,            0.013254,           1.218e-05,            0.092307,           0.0083067,           0.0083067,           0.0083067
                  29,            0.062533,            0.012512,          1.2315e-05,            0.092768,              0.9225,             0.88222,             0.94518,             0.60848,            0.055694,            0.013673,          9.7727e-06,            0.086929,           0.0081873,           0.0081873,           0.0081873
