               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14642,             0.02954,           0.0091092,             0.28823,            0.089765,            0.078522,            0.017757,           0.0034738,             0.10992,            0.037648,           0.0017209,             0.19126,            0.000128,            0.000128,            0.043728
                   1,             0.10388,            0.029244,           0.0011258,             0.18779,             0.17774,             0.14781,            0.062526,            0.012098,            0.095238,            0.031666,          0.00072596,             0.18693,          0.00025699,          0.00025699,            0.037407
                   2,            0.091048,            0.023717,          0.00055913,             0.18475,             0.37181,             0.40878,              0.2732,            0.078128,            0.073742,            0.024774,          0.00039754,               0.186,          0.00038596,          0.00038596,            0.031086
                   3,            0.079846,            0.017658,          0.00030895,             0.18342,             0.33581,             0.44956,             0.25428,            0.083539,            0.069891,            0.018218,          0.00022828,             0.18503,          0.00051487,          0.00051487,            0.024765
                   4,            0.079252,             0.01543,          0.00022011,               0.183,             0.54194,             0.55194,             0.48508,             0.17953,            0.066845,            0.016846,          0.00016672,             0.18297,          0.00064372,          0.00064372,            0.018444
                   5,            0.078716,            0.013357,          0.00016201,             0.18051,             0.46194,             0.49192,             0.33648,             0.10727,            0.066098,            0.015073,          0.00013697,              0.1806,          0.00077247,          0.00077247,            0.012122
                   6,            0.072168,            0.012944,          0.00013196,             0.17715,             0.60193,             0.65358,             0.61255,              0.2134,            0.060112,            0.014563,          0.00010365,               0.176,          0.00090111,          0.00090111,           0.0058011
                   7,              0.0727,            0.012326,          0.00010663,             0.17263,             0.67988,              0.7067,             0.68351,             0.26056,             0.06078,            0.014096,           9.394e-05,             0.17072,          0.00099866,          0.00099866,          0.00099866
                   8,            0.077018,            0.011948,           9.938e-05,             0.16857,             0.82707,             0.75289,              0.8307,              0.3513,            0.063476,            0.014035,          8.8508e-05,             0.16476,          0.00099866,          0.00099866,          0.00099866
                   9,            0.078041,            0.012516,          9.5226e-05,             0.16315,             0.77319,             0.81986,             0.85668,             0.36434,             0.06142,            0.013256,          7.8003e-05,             0.16079,          0.00099825,          0.00099825,          0.00099825
                  10,            0.065983,            0.011211,          7.4069e-05,             0.15802,             0.79256,             0.91917,             0.88688,             0.48479,            0.057808,            0.012892,          6.6917e-05,             0.15658,          0.00099778,          0.00099778,          0.00099778
                  11,             0.06359,            0.011194,          5.8445e-05,             0.15381,             0.83077,             0.90703,                 0.9,             0.43872,            0.053462,            0.012589,          4.9537e-05,             0.15273,          0.00099726,          0.00099726,          0.00099726
                  12,            0.062047,            0.011104,          4.7797e-05,             0.14912,             0.84026,             0.88683,             0.92602,             0.53129,            0.053342,            0.012164,          3.7621e-05,             0.14799,          0.00099669,          0.00099669,          0.00099669
                  13,            0.063207,             0.01066,          3.9812e-05,             0.14549,             0.81488,              0.9261,             0.92254,             0.54264,            0.049599,            0.012103,          3.3517e-05,             0.14362,          0.00099606,          0.00099606,          0.00099606
