               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17181,            0.025245,           0.0045611,             0.23632,            0.034421,           0.0069284,            0.018659,           0.0025964,             0.16235,            0.032849,          0.00029833,             0.18237,             0.00128,             0.00128,             0.08848
                   1,             0.13802,            0.025101,          0.00023526,             0.18687,            0.019442,             0.36028,            0.012753,           0.0023871,             0.19428,              1.2036,          5.6602e-05,             0.23209,           0.0025694,           0.0025694,            0.076869
                   2,             0.11883,            0.021788,          0.00012522,             0.18394,             0.29497,             0.28176,             0.15075,            0.032509,             0.11047,            0.026395,          9.0769e-05,             0.17692,           0.0038562,           0.0038562,            0.065256
                   3,             0.10666,            0.020592,          9.9111e-05,             0.18175,              0.5363,             0.46189,             0.41385,             0.10676,            0.090886,            0.025004,          6.2382e-05,              0.1737,           0.0051386,           0.0051386,            0.053639
                   4,             0.10362,            0.019059,          8.6752e-05,             0.17626,             0.53327,             0.49885,              0.4683,             0.15245,            0.098084,            0.028677,          4.5028e-05,             0.17061,           0.0064146,           0.0064146,            0.042015
                   5,              0.0997,            0.018439,          6.4789e-05,             0.17042,             0.57669,             0.52858,             0.50465,             0.17117,            0.092269,            0.022142,          3.8455e-05,             0.16037,           0.0076824,           0.0076824,            0.030382
                   6,             0.09875,             0.01828,          5.0098e-05,             0.16125,             0.58678,             0.57719,             0.48701,             0.15785,            0.096034,            0.028697,          2.9736e-05,              0.1575,           0.0089401,           0.0089401,             0.01874
                   7,            0.096643,            0.017534,          4.8664e-05,             0.15325,             0.58532,             0.59815,             0.55107,             0.15921,            0.089083,             0.02269,          2.3696e-05,             0.14971,           0.0098796,           0.0098796,           0.0098796
                   8,             0.09868,            0.016507,          4.2559e-05,             0.14672,             0.77501,             0.58891,             0.71166,             0.26774,            0.085784,            0.021164,          2.8014e-05,             0.13915,           0.0098796,           0.0098796,           0.0098796
                   9,             0.10435,            0.016869,          4.3169e-05,             0.14636,             0.56327,              0.5612,             0.52792,             0.16638,            0.088281,            0.021073,          2.9492e-05,             0.13682,           0.0098429,           0.0098429,           0.0098429
                  10,            0.091211,            0.017002,          3.7406e-05,             0.14052,             0.72743,             0.73441,             0.77193,             0.32826,            0.076417,            0.017939,          2.9319e-05,             0.13137,           0.0098015,           0.0098015,           0.0098015
                  11,            0.082216,            0.015899,          2.8786e-05,             0.13435,             0.77915,             0.70901,             0.77283,             0.34544,            0.075061,            0.019738,          1.8213e-05,             0.12916,           0.0097553,           0.0097553,           0.0097553
                  12,            0.080211,            0.015327,           2.374e-05,             0.13147,              0.7579,             0.76636,             0.77118,             0.32765,             0.07683,             0.01879,          1.3589e-05,             0.12324,           0.0097044,           0.0097044,           0.0097044
                  13,             0.07881,            0.014679,          1.9544e-05,             0.12468,             0.84873,             0.80341,             0.87079,             0.40996,            0.067998,            0.016234,          1.4762e-05,              0.1176,           0.0096489,           0.0096489,           0.0096489
                  14,            0.078272,            0.014449,          1.9594e-05,             0.12229,             0.81533,             0.85912,             0.87884,             0.43459,             0.06678,            0.019212,          1.1178e-05,             0.11657,           0.0095888,           0.0095888,           0.0095888
                  15,            0.074606,             0.01398,           1.691e-05,             0.11882,              0.9193,             0.79215,             0.91231,             0.48263,            0.064649,            0.016037,          1.1939e-05,             0.11307,           0.0095242,           0.0095242,           0.0095242
                  16,            0.074986,            0.013681,          1.7848e-05,             0.11669,             0.87529,              0.8591,             0.92068,             0.50651,            0.061843,            0.015721,          1.2223e-05,             0.10979,           0.0094551,           0.0094551,           0.0094551
                  17,            0.071892,            0.013775,          1.7416e-05,             0.11495,             0.88341,             0.87529,             0.92845,             0.52491,            0.063875,            0.014537,          1.3425e-05,             0.10901,           0.0093816,           0.0093816,           0.0093816
                  18,            0.072868,             0.01369,          1.7992e-05,             0.11339,             0.89951,             0.87067,             0.92019,             0.47265,            0.062189,            0.015048,          1.2642e-05,             0.10922,           0.0093038,           0.0093038,           0.0093038
                  19,            0.070464,              0.0133,          1.8277e-05,             0.11247,             0.92024,              0.8545,             0.91472,             0.49984,             0.06099,            0.015732,          1.2257e-05,             0.10548,           0.0092217,           0.0092217,           0.0092217
                  20,            0.069568,            0.013483,          1.7565e-05,             0.11207,             0.93508,             0.90069,             0.95064,             0.57927,            0.055537,            0.014027,          1.1184e-05,             0.10527,           0.0091355,           0.0091355,           0.0091355
                  21,            0.069954,            0.013464,          1.6566e-05,             0.11048,             0.92581,             0.89607,             0.94398,             0.54471,            0.059671,            0.014334,          1.2575e-05,             0.10412,           0.0090452,           0.0090452,           0.0090452
                  22,            0.067465,            0.012683,          1.6451e-05,             0.10739,             0.92956,             0.88388,             0.94606,             0.56763,            0.058197,            0.013983,          1.1799e-05,              0.1015,           0.0089509,           0.0089509,           0.0089509
