               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0099496,            0.037111,            0.038924,             0.75344,            0.077479,             0.10619,            0.019638,           0.0034815,           0.0092575,            0.033474,            0.025498,             0.63457,             0.00048,             0.00048,             0.09568
                   1,           0.0096428,            0.028173,            0.022464,             0.63236,            0.026874,             0.14159,            0.010997,           0.0016469,           0.0088523,            0.025123,            0.012675,             0.52397,          0.00096999,          0.00096999,             0.09127
                   2,           0.0091598,            0.022924,           0.0099538,             0.50464,            0.032582,             0.23009,            0.018191,           0.0028258,           0.0083176,            0.019971,           0.0028656,             0.36108,             0.00146,             0.00146,             0.08686
                   3,           0.0080683,             0.01962,           0.0024736,             0.31832,             0.15283,             0.44064,             0.13689,            0.024393,           0.0081013,            0.016428,           0.0003757,             0.20407,           0.0019499,           0.0019499,             0.08245
                   4,            0.007883,            0.015315,          0.00056934,             0.21359,             0.36155,             0.63717,             0.30539,            0.068958,           0.0071845,            0.013608,          0.00013027,             0.17156,           0.0024397,           0.0024397,             0.07804
                   5,           0.0074196,            0.014056,          0.00024495,             0.18962,             0.28682,             0.48673,             0.22656,             0.04607,           0.0064831,            0.012799,          0.00015186,             0.15994,           0.0029294,           0.0029294,            0.073629
                   6,           0.0068966,            0.013082,          0.00020103,             0.18045,             0.88295,             0.80531,             0.81931,              0.2333,           0.0057583,            0.012401,          0.00011954,             0.15843,            0.003419,            0.003419,            0.069219
                   7,            0.006832,            0.011987,          0.00017013,             0.18232,             0.12243,             0.61855,               0.104,            0.020291,            0.007126,            0.010002,          0.00013384,             0.15631,           0.0039085,           0.0039085,            0.064808
                   8,           0.0068515,            0.010941,          0.00014996,              0.1748,             0.31613,             0.77876,             0.29129,            0.076258,           0.0072004,           0.0091402,          0.00010407,             0.15445,           0.0043978,           0.0043978,            0.060398
                   9,           0.0079219,           0.0094382,          0.00013491,             0.17293,             0.32917,             0.61947,             0.33934,            0.092192,           0.0082053,           0.0080123,          9.3016e-05,             0.15165,           0.0048869,           0.0048869,            0.055987
