               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.151,            0.021205,           0.0038948,             0.23632,             0.55322,             0.42032,             0.41966,             0.10485,             0.12723,            0.026496,          0.00057509,             0.18985,             0.00128,             0.00128,             0.08848
                   1,             0.11308,            0.016589,          0.00022276,             0.18589,             0.42374,             0.50346,             0.39711,             0.10929,             0.11981,            0.019436,          0.00020062,             0.18451,           0.0025694,           0.0025694,            0.076869
                   2,             0.10838,            0.013857,          0.00012774,             0.18023,             0.54506,             0.55427,             0.46663,             0.13554,             0.10034,            0.025155,          0.00011227,             0.17613,           0.0038562,           0.0038562,            0.065256
                   3,             0.10203,            0.013346,          8.7203e-05,             0.17359,             0.63915,              0.6836,             0.65606,             0.20155,             0.11138,            0.019705,          0.00013549,             0.17406,           0.0051386,           0.0051386,            0.053639
                   4,             0.10546,            0.013161,          8.5505e-05,             0.16786,             0.66544,             0.47575,             0.56655,             0.23193,             0.11027,            0.021644,          0.00013764,             0.17934,           0.0064146,           0.0064146,            0.042015
                   5,             0.09819,            0.013692,          7.9102e-05,             0.16136,             0.18655,             0.18014,             0.12711,            0.043309,             0.16936,            0.031417,           0.0001676,             0.18286,           0.0076824,           0.0076824,            0.030382
                   6,            0.095882,            0.012682,          5.7041e-05,             0.15759,             0.60807,             0.73812,             0.61163,             0.26987,            0.092438,            0.022974,          7.6147e-05,             0.15941,           0.0089401,           0.0089401,             0.01874
                   7,            0.096607,            0.012346,          6.2292e-05,             0.15266,             0.71631,             0.66744,             0.72189,             0.32556,            0.091863,            0.016661,          8.2722e-05,             0.15346,           0.0098796,           0.0098796,           0.0098796
                   8,            0.099268,            0.014041,          6.2618e-05,             0.14996,             0.72351,             0.69515,              0.7416,             0.27377,            0.087503,            0.016762,          7.3528e-05,             0.15096,           0.0098796,           0.0098796,           0.0098796
                   9,            0.097408,            0.013228,          5.3375e-05,             0.14842,             0.70107,             0.55889,             0.59151,             0.23411,            0.086139,            0.023676,          6.9295e-05,             0.14892,           0.0098429,           0.0098429,           0.0098429
                  10,            0.086692,            0.012653,          4.6869e-05,             0.13982,             0.85418,              0.7067,             0.81431,             0.35246,            0.083501,            0.016561,          4.1127e-05,             0.13895,           0.0098015,           0.0098015,           0.0098015
                  11,            0.087966,            0.012242,          2.9984e-05,             0.13491,             0.50486,             0.56813,             0.45913,             0.15632,             0.12425,            0.019445,             0.23916,              3.0292,           0.0097553,           0.0097553,           0.0097553
                  12,            0.088669,            0.012412,          3.1042e-05,             0.13588,              0.7942,             0.78432,              0.8345,                0.42,            0.081776,            0.017164,          5.0376e-05,             0.13968,           0.0097044,           0.0097044,           0.0097044
                  13,            0.085355,            0.012336,          3.1998e-05,             0.13116,             0.84198,             0.77525,             0.87409,             0.45083,            0.076939,            0.014937,          4.0308e-05,             0.13538,           0.0096489,           0.0096489,           0.0096489
                  14,            0.082489,            0.012193,          3.8758e-05,             0.12855,              0.9028,             0.70787,             0.84166,             0.40575,            0.076767,            0.014353,          4.2489e-05,             0.13292,           0.0095888,           0.0095888,           0.0095888
                  15,            0.079221,            0.012248,          3.9544e-05,             0.12502,             0.78073,             0.86342,             0.88787,             0.48264,            0.069354,              0.0147,           4.409e-05,             0.12924,           0.0095242,           0.0095242,           0.0095242
