               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.011597,            0.043435,            0.036782,             0.91165,            0.031133,            0.018868,           0.0053118,           0.0012827,             0.01197,            0.034256,            0.032748,             0.85266,               9e-05,               9e-05,             0.09919
                   1,            0.010805,            0.036948,            0.030997,             0.80068,            0.063347,             0.04717,            0.016109,           0.0035057,            0.011704,             0.02823,            0.030037,             0.75855,          0.00018996,          0.00018996,             0.09829
                   2,            0.010629,            0.029967,            0.024738,             0.72392,            0.031252,             0.09434,            0.021048,           0.0077253,            0.011526,            0.022793,            0.022371,             0.69431,          0.00028977,          0.00028977,             0.09739
                   3,            0.010256,            0.026508,            0.020425,             0.66678,            0.042254,            0.056604,             0.02582,           0.0049589,            0.011333,            0.020689,            0.016984,              0.6217,          0.00038931,          0.00038931,            0.096489
                   4,            0.010143,            0.023951,            0.015931,             0.61028,            0.053466,            0.056604,            0.032145,           0.0056158,            0.010034,            0.018668,             0.01162,             0.56654,          0.00048845,          0.00048845,            0.095588
                   5,           0.0095895,            0.022718,            0.011321,               0.548,            0.046797,             0.15094,            0.032785,           0.0046994,           0.0090138,            0.017827,           0.0078504,             0.50549,          0.00058709,          0.00058709,            0.094687
                   6,           0.0086686,            0.021639,           0.0077123,             0.47817,             0.12979,             0.12903,            0.066748,            0.014216,           0.0084875,             0.01741,            0.005154,             0.43092,          0.00068511,          0.00068511,            0.093785
                   7,           0.0077931,            0.019706,           0.0048717,             0.40427,             0.18416,             0.15954,             0.14952,            0.040063,           0.0082677,            0.015881,           0.0029638,             0.35102,          0.00078239,          0.00078239,            0.092882
                   8,           0.0073704,            0.018424,           0.0035336,             0.33797,             0.78034,             0.16981,             0.16268,            0.031813,           0.0080992,            0.015108,            0.001451,             0.28714,          0.00087882,          0.00087882,            0.091979
                   9,           0.0070988,            0.016831,           0.0021734,             0.28302,             0.82274,             0.24528,             0.27813,            0.081537,           0.0080824,            0.015233,          0.00097236,             0.24799,          0.00097428,          0.00097428,            0.091074
                  10,           0.0069611,            0.014792,           0.0026312,             0.25122,             0.91663,             0.23572,             0.28808,            0.067113,           0.0075135,            0.014447,          0.00081607,              0.2334,           0.0010687,           0.0010687,            0.090169
                  11,           0.0068696,            0.014735,           0.0021489,             0.24194,             0.91925,             0.24491,             0.32804,            0.093256,           0.0072335,             0.01325,           0.0008386,             0.21737,           0.0011619,           0.0011619,            0.089262
                  12,           0.0062178,            0.013749,           0.0015253,             0.22382,             0.30115,             0.27358,             0.30216,            0.085771,           0.0069137,            0.012903,          0.00062135,             0.21403,           0.0012538,           0.0012538,            0.088354
                  13,           0.0058538,            0.012863,           0.0016311,             0.21584,             0.25333,             0.33962,             0.29901,            0.094121,           0.0062181,             0.01135,          0.00056422,             0.20965,           0.0013443,           0.0013443,            0.087444
                  14,           0.0056847,            0.012498,          0.00072756,             0.19968,             0.23558,             0.39504,              0.2695,            0.091058,           0.0063704,            0.010219,           0.0006568,             0.20252,           0.0014333,           0.0014333,            0.086533
                  15,            0.005704,            0.012656,          0.00097094,             0.20602,             0.30633,             0.35849,             0.33033,            0.085426,           0.0061147,            0.010172,          0.00059201,              0.2028,           0.0015207,           0.0015207,            0.085621
                  16,           0.0055327,            0.011698,          0.00062075,             0.20073,             0.29364,             0.34901,             0.34157,            0.098141,           0.0063145,            0.010092,          0.00059069,              0.1954,           0.0016064,           0.0016064,            0.084706
                  17,           0.0064701,            0.011862,           0.0016351,             0.20951,             0.24964,             0.35849,             0.28879,            0.081237,            0.006014,           0.0093761,          0.00053917,             0.19504,           0.0016903,           0.0016903,             0.08379
                  18,           0.0062039,            0.011173,          0.00090513,             0.20217,             0.28078,             0.38667,             0.32608,             0.10352,           0.0064808,           0.0087237,          0.00053043,             0.19146,           0.0017723,           0.0017723,            0.082872
                  19,           0.0061455,            0.010934,           0.0012976,              0.2045,             0.30536,             0.34906,               0.288,             0.11675,           0.0061997,           0.0090817,          0.00054837,             0.19128,           0.0018524,           0.0018524,            0.081952
                  20,           0.0062772,            0.010396,          0.00050165,             0.19748,             0.20582,             0.31132,             0.18387,             0.04745,           0.0065654,           0.0084861,          0.00048301,             0.18932,           0.0019303,           0.0019303,             0.08103
                  21,           0.0059652,            0.010658,          0.00078932,             0.19256,             0.18341,             0.33962,              0.1946,            0.048012,           0.0072073,           0.0088051,           0.0004769,             0.18902,           0.0020062,           0.0020062,            0.080106
                  22,           0.0066127,            0.010008,          0.00094522,             0.19989,             0.26695,             0.29245,             0.25261,            0.062832,            0.006564,           0.0084155,          0.00062585,             0.18631,           0.0020798,           0.0020798,             0.07918
                  23,           0.0066079,           0.0098998,           0.0010748,             0.20164,             0.21101,             0.35849,              0.2159,            0.064573,           0.0062208,           0.0080963,           0.0006108,             0.18387,           0.0021511,           0.0021511,            0.078251
                  24,           0.0065611,           0.0095493,          0.00065515,             0.19462,             0.37705,             0.40506,             0.40547,             0.14018,            0.006432,           0.0085557,          0.00054842,             0.18287,           0.0022201,           0.0022201,             0.07732
                  25,           0.0068274,           0.0089586,           0.0005691,             0.19218,             0.42722,             0.44304,             0.45105,             0.16531,           0.0060709,           0.0079608,           0.0004558,             0.18266,           0.0022866,           0.0022866,            0.076387
                  26,           0.0066441,           0.0092689,          0.00083829,             0.19817,             0.24232,             0.33019,             0.22915,            0.077858,            0.006183,           0.0078359,          0.00046016,             0.18542,           0.0023506,           0.0023506,            0.075451
                  27,            0.006386,           0.0092935,          0.00053265,             0.19019,             0.23351,             0.33962,             0.23366,            0.051738,           0.0063562,           0.0077721,          0.00044689,             0.18154,            0.002412,            0.002412,            0.074512
                  28,           0.0062371,            0.010001,          0.00053627,             0.18914,             0.37886,             0.35849,             0.40868,             0.13967,           0.0061583,           0.0077357,          0.00044275,             0.17767,           0.0024709,           0.0024709,            0.073571
                  29,           0.0064419,           0.0097409,          0.00044249,             0.18698,             0.29804,             0.34807,             0.29778,             0.08166,           0.0066738,           0.0078976,          0.00035412,             0.17973,            0.002527,            0.002527,            0.072627
                  30,           0.0059705,           0.0097182,          0.00033896,             0.18286,             0.30427,             0.39623,             0.34372,            0.093084,           0.0060898,           0.0079868,           0.0002296,             0.17877,           0.0025805,           0.0025805,            0.071681
                  31,           0.0060839,           0.0097648,          0.00028448,             0.18327,             0.18078,             0.27358,             0.17471,            0.037524,           0.0072143,            0.007431,          0.00018857,             0.17725,           0.0026312,           0.0026312,            0.070731
                  32,           0.0062526,            0.008956,          0.00031372,             0.18074,              0.7257,             0.39623,             0.42875,            0.088625,           0.0066956,           0.0078697,          0.00021608,             0.17672,           0.0026791,           0.0026791,            0.069779
                  33,           0.0063426,           0.0088057,          0.00022155,              0.1795,             0.23687,             0.34906,             0.21367,            0.060785,           0.0080855,           0.0068885,          0.00021301,             0.17229,           0.0027243,           0.0027243,            0.068824
                  34,           0.0065122,            0.009365,          0.00023702,             0.16892,             0.30875,             0.39623,             0.33066,              0.1065,           0.0062552,           0.0077575,          0.00018547,             0.16917,           0.0027665,           0.0027665,            0.067867
                  35,           0.0062884,           0.0092927,          0.00019502,             0.17356,             0.37697,             0.43359,             0.41749,             0.16178,           0.0057964,           0.0076163,          0.00018165,             0.16291,           0.0028059,           0.0028059,            0.066906
                  36,           0.0063776,           0.0093149,          0.00017945,               0.169,             0.14848,             0.41509,             0.17245,            0.047199,            0.007176,           0.0073645,          0.00013156,             0.16185,           0.0028425,           0.0028425,            0.065942
                  37,            0.007144,           0.0085944,          0.00018752,             0.16739,             0.55669,             0.85613,              0.6674,             0.23973,           0.0064724,           0.0071567,          0.00013719,             0.15715,           0.0028761,           0.0028761,            0.064976
