               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16443,            0.022798,           0.0075518,             0.29047,             0.10039,            0.073903,            0.030814,           0.0055268,              0.1352,            0.027307,           0.0013886,             0.19327,            0.000128,            0.000128,            0.043728
                   1,             0.11473,            0.024276,          0.00098549,             0.18767,              0.5634,              0.3164,             0.28848,            0.075888,            0.096474,            0.025443,          0.00066747,             0.18735,          0.00025699,          0.00025699,            0.037407
                   2,            0.097902,            0.019784,          0.00049865,             0.18371,             0.62552,             0.37644,             0.36375,             0.10828,            0.080116,             0.02239,          0.00036151,             0.18627,          0.00038596,          0.00038596,            0.031086
                   3,            0.091124,            0.017546,          0.00029852,              0.1841,             0.50446,             0.50078,             0.37983,             0.10233,            0.082834,            0.018177,          0.00025679,             0.18545,          0.00051487,          0.00051487,            0.024765
                   4,            0.087569,            0.015152,          0.00022861,             0.18338,             0.47404,             0.52887,             0.40116,             0.14277,             0.06938,            0.015987,          0.00018116,             0.18395,          0.00064372,          0.00064372,            0.018444
                   5,            0.083294,            0.013569,           0.0001532,             0.18048,             0.59423,             0.48026,              0.4504,             0.13202,            0.068497,            0.014257,          0.00013332,             0.18022,          0.00077247,          0.00077247,            0.012122
                   6,            0.080312,             0.01228,          0.00012881,             0.17595,             0.53826,             0.66229,             0.60615,             0.23784,             0.06959,             0.01388,          0.00011942,             0.17625,          0.00090111,          0.00090111,           0.0058011
                   7,            0.079113,            0.011633,          0.00011287,             0.17231,             0.67867,             0.56094,             0.62755,             0.25638,            0.067846,            0.013509,          9.8378e-05,             0.17248,          0.00099866,          0.00099866,          0.00099866
                   8,            0.084593,              0.0115,          9.1842e-05,             0.17017,             0.74984,             0.61609,             0.71753,             0.27621,            0.068472,            0.013098,            8.34e-05,             0.16923,          0.00099866,          0.00099866,          0.00099866
                   9,            0.076899,            0.010616,          8.2495e-05,             0.16608,             0.77251,              0.7067,             0.78778,             0.34084,            0.062881,            0.012015,          6.6962e-05,             0.16551,          0.00099825,          0.00099825,          0.00099825
                  10,            0.069778,            0.010733,          6.3106e-05,             0.16238,             0.74901,             0.88219,              0.8743,             0.41814,            0.059012,             0.01184,          6.4475e-05,             0.16335,          0.00099778,          0.00099778,          0.00099778
                  11,            0.068594,             0.01035,          5.9969e-05,              0.1572,             0.86794,             0.81961,             0.91619,             0.49687,            0.060785,             0.01146,          5.6875e-05,             0.15906,          0.00099726,          0.00099726,          0.00099726
                  12,            0.065957,             0.01007,          4.5882e-05,             0.15426,             0.86238,             0.90531,             0.92275,             0.51504,            0.058578,            0.012357,          4.4295e-05,             0.15591,          0.00099669,          0.00099669,          0.00099669
                  13,            0.064749,             0.01008,          4.0086e-05,             0.15131,             0.87849,             0.90163,             0.94751,              0.5168,            0.054357,            0.010217,          3.6685e-05,             0.15099,          0.00099606,          0.00099606,          0.00099606
                  14,             0.06303,           0.0095479,          3.5404e-05,             0.14735,             0.87275,              0.8395,             0.93172,             0.51383,            0.055607,             0.01021,          2.9851e-05,             0.14682,          0.00099538,          0.00099538,          0.00099538
                  15,            0.061219,           0.0092628,          2.9449e-05,             0.14389,             0.86249,             0.91455,             0.94051,             0.59026,            0.053484,            0.010156,          2.4991e-05,             0.14558,          0.00099464,          0.00099464,          0.00099464
                  16,            0.062436,           0.0092381,          2.5023e-05,             0.14065,             0.80387,             0.95605,             0.93319,             0.53292,            0.053718,            0.010013,          2.2965e-05,             0.14254,          0.00099385,          0.00099385,          0.00099385
                  17,             0.06315,           0.0097961,          2.3335e-05,             0.13827,             0.87412,             0.89809,             0.94853,              0.6042,            0.055231,            0.010355,          2.3491e-05,             0.13858,          0.00099301,          0.00099301,          0.00099301
                  18,            0.062462,           0.0096221,          2.0864e-05,             0.13698,             0.85469,             0.93728,             0.95291,             0.61472,            0.052792,            0.009983,          1.9332e-05,             0.13461,          0.00099211,          0.00099211,          0.00099211
                  19,            0.059335,           0.0087853,          2.0563e-05,              0.1325,             0.88181,             0.89607,             0.93606,             0.59349,            0.051949,           0.0095574,          1.6392e-05,             0.13234,          0.00099115,          0.00099115,          0.00099115
                  20,            0.059534,           0.0089774,          1.6874e-05,             0.13022,             0.85849,             0.95381,              0.9548,             0.64534,            0.051579,           0.0097328,          1.5279e-05,             0.13056,          0.00099015,          0.00099015,          0.00099015
                  21,            0.061712,           0.0090475,          1.4789e-05,             0.12724,             0.90729,             0.90762,             0.96005,              0.6151,            0.052541,           0.0097497,          1.5002e-05,             0.12684,          0.00098908,          0.00098908,          0.00098908
                  22,            0.065048,           0.0087484,          1.4756e-05,             0.12542,             0.90502,              0.9261,             0.96207,             0.64887,            0.054759,           0.0098216,          1.5238e-05,             0.12726,          0.00098797,          0.00098797,          0.00098797
                  23,            0.063201,           0.0094445,          1.4658e-05,             0.12368,             0.89884,             0.92339,             0.95775,             0.62822,               0.052,           0.0099937,          1.5016e-05,             0.12349,           0.0009868,           0.0009868,           0.0009868
                  24,            0.061626,           0.0087243,          1.4243e-05,             0.12014,             0.93224,             0.95381,             0.97344,             0.65698,            0.053516,           0.0096602,          1.4459e-05,             0.12111,          0.00098558,          0.00098558,          0.00098558
                  25,            0.062818,           0.0086792,           1.471e-05,             0.11974,             0.94483,             0.94918,             0.97808,             0.63424,            0.051626,           0.0097469,          1.1904e-05,             0.11942,          0.00098431,          0.00098431,          0.00098431
                  26,            0.058701,           0.0087955,          1.2245e-05,              0.1167,             0.91812,             0.95812,             0.96096,             0.67364,            0.049187,           0.0090894,          1.2824e-05,             0.11546,          0.00098298,          0.00098298,          0.00098298
                  27,            0.057078,           0.0083693,          1.0286e-05,             0.11301,             0.93828,             0.94919,             0.97404,             0.65719,            0.049617,           0.0091625,          9.3582e-06,             0.11279,           0.0009816,           0.0009816,           0.0009816
                  28,            0.054611,           0.0082727,           1.015e-05,             0.11104,             0.93421,             0.95381,             0.96864,             0.68312,            0.046709,           0.0088301,          1.0708e-05,             0.11214,          0.00098017,          0.00098017,          0.00098017
